Player,Nation,Pos,Age,Team,League,Min,90s,Gls,Ast,per_90_Gls,per_90_Ast,SoT,Crs,TklW,Int,CrdY,CrdR,Saves,CS,GA,Lig_Puani,Takim_Puani,Lig_Max_90s,oynanabilirlik_skoru
Benedikt Gimber,GER,DF,28.0,Heidenheim,GER-Bundesliga,1436,15.96,0,0,0.0,0.0,1,5,21,15,6,0,0.0,0.0,0.0,90,40,34.0,33.63
Benjamin André,FRA,MF,34.0,Lille,FRA-Ligue 1,2332,25.91,2,2,0.08,0.08,6,22,40,31,9,0,0.0,0.0,0.0,85,70,34.0,65.0
Benjamin Bouchouari,MAR,MF,23.0,Trabzonspor,TUR-Super Lig,620,6.89,0,0,0.0,0.0,3,3,8,4,1,1,0.0,0.0,0.0,90,90,34.0,68.47
Benjamin Henrichs,GER,DF,28.0,RB Leipzig,GER-Bundesliga,305,3.39,1,0,0.29,0.0,2,0,6,4,0,0,0.0,0.0,0.0,90,90,34.0,65.69
Benjamin Pavard,FRA,DF,29.0,Marseille,ITA-Serie A,2018,22.42,1,2,0.04,0.09,4,17,13,26,6,0,0.0,0.0,0.0,90,70,48.28,58.75
Benjamin Stambouli,FRA,MF,34.0,Metz,FRA-Ligue 1,960,10.67,0,0,0.0,0.0,1,8,16,9,0,0,0.0,0.0,0.0,85,40,34.0,31.77
Benjamin Šeško,SVN,FW,22.0,Manchester Utd,ENG-Premier League,1643,18.26,11,1,0.6,0.05,34,2,3,3,2,0,0.0,0.0,0.0,100,85,38.0,71.75
Benjamín Domínguez,ARG,MF,21.0,Bologna,ITA-Serie A,547,6.08,0,3,0.0,0.49,2,7,2,2,1,0,0.0,0.0,0.0,90,40,48.28,29.51
Benoît Badiashile,FRA,DF,24.0,Chelsea,ENG-Premier League,471,5.23,0,0,0.0,0.0,0,0,5,9,2,0,0.0,0.0,0.0,100,80,38.0,59.3
Berat Djimsiti,ALB,DF,32.0,Atalanta,ITA-Serie A,2525,28.06,0,0,0.0,0.0,2,2,30,42,4,0,0.0,0.0,0.0,90,75,48.28,65.58
Berat Özdemir,TUR,"MF,DF",27.0,Başakşehir,TUR-Super Lig,918,10.2,0,0,0.0,0.0,1,3,10,14,2,0,0.0,0.0,0.0,90,75,34.0,59.25
Berk Yıldızlı,TUR,FW,20.0,Kasımpaşa,TUR-Super Lig,3,0.03,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,90,40,34.0,28.01
Berkan Kutlu,TUR,MF,27.0,Konyaspor,TUR-Super Lig,1119,12.43,2,1,0.16,0.08,7,23,9,18,4,0,0.0,0.0,0.0,90,40,34.0,32.39
Berkay Özcan,TUR,MF,27.0,Karagümrük,TUR-Super Lig,2368,26.31,0,1,0.0,0.04,4,43,16,16,1,0,0.0,0.0,0.0,90,40,34.0,37.29
Berke Özer,TUR,GK,25.0,Lille,FRA-Ligue 1,2924,32.49,0,1,0.0,0.03,0,0,2,0,5,0,71.0,13.0,38.0,85,70,34.0,69.07
Bernard Nguene,CMR,FW,18.0,Nice,FRA-Ligue 1,138,1.53,0,0,0.0,0.0,0,1,1,3,1,0,0.0,0.0,0.0,85,40,34.0,28.54
Bernardo,BRA,DF,30.0,Hoffenheim,GER-Bundesliga,2312,25.69,0,0,0.0,0.0,0,16,42,39,9,0,0.0,0.0,0.0,90,40,34.0,37.07
Bernardo Silva,POR,MF,30.0,Manchester City,ENG-Premier League,2872,31.91,2,4,0.06,0.13,7,72,28,21,10,0,0.0,0.0,0.0,100,100,38.0,95.19
Bernd Leno,GER,GK,33.0,Fulham,ENG-Premier League,3420,38.0,0,0,0.0,0.0,0,0,1,1,3,0,98.0,9.0,51.0,100,40,38.0,40.0
Bertrand Traoré,BFA,"MF,FW",29.0,Sunderland,ENG-Premier League,632,7.02,1,0,0.14,0.0,6,13,4,2,1,0,0.0,0.0,0.0,100,40,38.0,30.22
Bertuğ Yıldırım,TUR,FW,23.0,Başakşehir,FRA-Ligue 1,564,6.27,7,1,1.12,0.16,10,1,3,3,2,0,0.0,0.0,0.0,85,75,34.0,56.65
Beto,GNB,FW,27.0,Everton,ENG-Premier League,1568,17.42,9,1,0.52,0.06,17,2,5,1,3,0,0.0,0.0,0.0,100,40,38.0,33.5
Beñat Prados,ESP,MF,24.0,Athletic Club,ESP-La Liga,85,0.94,0,0,0.0,0.0,0,0,2,2,1,0,0.0,0.0,0.0,95,75,38.0,53.06
Beñat Turrientes,ESP,MF,23.0,Real Sociedad,ESP-La Liga,1348,14.98,0,3,0.0,0.2,6,9,23,9,7,0,0.0,0.0,0.0,95,75,38.0,61.37
Bilal Bayazit,NED,GK,26.0,Kayserispor,TUR-Super Lig,2520,28.0,0,0,0.0,0.0,0,0,1,0,5,0,102.0,7.0,49.0,90,40,34.0,37.88
Bilal Brahimi,ALG,"FW,MF",25.0,Nice,FRA-Ligue 1,1,0.01,0,0,0.0,0.0,0,2,0,0,0,0,0.0,0.0,0.0,85,40,34.0,28.0
Bilal El Khannouss,MAR,"MF,FW",21.0,Stuttgart,GER-Bundesliga,1630,18.11,4,5,0.22,0.28,15,65,21,10,6,0,0.0,0.0,0.0,90,75,34.0,64.48
Bilal Nadir,MAR,MF,21.0,Marseille,FRA-Ligue 1,598,6.64,0,4,0.0,0.6,1,10,9,6,6,1,0.0,0.0,0.0,85,70,34.0,53.1
Billy Gilmour,SCO,MF,24.0,Napoli,ITA-Serie A,805,8.94,1,0,0.11,0.0,3,6,8,11,1,0,0.0,0.0,0.0,90,90,48.28,68.0
Bingourou Kamara,SEN,GK,28.0,Lorient,FRA-Ligue 1,270,3.0,0,0,0.0,0.0,0,0,0,0,0,0,8.0,1.0,8.0,85,40,34.0,29.06
Blaž Kramer,SVN,FW,29.0,Konyaspor,TUR-Super Lig,663,7.37,5,0,0.68,0.0,12,4,2,1,4,0,0.0,0.0,0.0,90,40,34.0,30.6
Bojan Miovski,MKD,FW,26.0,Girona,ESP-La Liga,44,0.49,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,95,75,38.0,52.79
Boran Başkan,TUR,DF,19.0,Trabzonspor,TUR-Super Lig,93,1.03,0,0,0.0,0.0,0,3,1,1,0,0,0.0,0.0,0.0,90,90,34.0,63.82
Borja Iglesias,ESP,FW,32.0,Celta Vigo,ESP-La Liga,1900,21.11,14,2,0.66,0.09,26,3,5,0,7,0,0.0,0.0,0.0,95,40,38.0,34.67
Borja Mayoral,ESP,FW,28.0,Getafe,ESP-La Liga,1058,11.76,4,1,0.34,0.09,7,6,5,4,0,0,0.0,0.0,0.0,95,40,38.0,31.71
Borja Sánchez Laborde,ESP,MF,29.0,Oviedo,ESP-La Liga,14,0.16,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,95,40,38.0,28.05
Borna Sosa,CRO,"DF,MF",27.0,Crystal Palace,ENG-Premier League,101,1.12,0,0,0.0,0.0,0,6,0,2,1,0,0.0,0.0,0.0,100,70,38.0,49.62
Botond Balogh,HUN,DF,23.0,Kocaelispor,TUR-Super Lig,1657,18.41,0,0,0.0,0.0,0,1,21,23,6,0,0.0,0.0,0.0,90,40,34.0,34.5
Boubacar Kamara,FRA,MF,25.0,Aston Villa,ENG-Premier League,1411,15.68,1,3,0.06,0.19,4,2,16,15,5,0,0.0,0.0,0.0,100,80,38.0,65.9
Boubacar Traoré,MLI,MF,23.0,Metz,FRA-Ligue 1,1387,15.41,1,0,0.06,0.0,3,2,26,15,4,0,0.0,0.0,0.0,85,40,34.0,33.44
Boulaye Dia,SEN,"FW,MF",28.0,Lazio,ITA-Serie A,1253,13.92,1,2,0.07,0.14,7,0,7,3,1,0,0.0,0.0,0.0,90,75,48.28,58.99
Bouna Sarr,SEN,"MF,DF",33.0,Metz,FRA-Ligue 1,895,9.94,0,0,0.0,0.0,3,31,13,11,1,0,0.0,0.0,0.0,85,40,34.0,31.51
Brad Mantsounga,CGO,DF,17.0,Nice,FRA-Ligue 1,90,1.0,0,0,0.0,0.0,0,0,3,0,0,0,0.0,0.0,0.0,85,40,34.0,28.35
Bradley Barcola,FRA,FW,22.0,PSG,FRA-Ligue 1,1743,19.37,11,1,0.57,0.05,30,26,16,12,2,0,0.0,0.0,0.0,85,100,34.0,87.09
Bradley Burrowes,ENG,MF,17.0,Aston Villa,ENG-Premier League,17,0.19,0,0,0.0,0.0,0,3,0,0,0,0,0.0,0.0,0.0,100,80,38.0,56.12
Bradley Locko,FRA,DF,23.0,Brest,FRA-Ligue 1,1286,14.29,0,2,0.0,0.14,1,34,28,10,0,0,0.0,0.0,0.0,85,40,34.0,33.04
Brahim Díaz,MAR,"FW,MF",25.0,Real Madrid,ESP-La Liga,1257,13.97,1,6,0.07,0.43,7,20,10,2,2,0,0.0,0.0,0.0,95,100,38.0,81.03
Brais Méndez,ESP,"MF,FW",28.0,Real Sociedad,ESP-La Liga,1660,18.44,6,2,0.33,0.11,16,62,18,8,4,1,0.0,0.0,0.0,95,75,38.0,63.42
Brajan Gruda,GER,MF,21.0,RB Leipzig,ENG-Premier League,1472,16.36,4,4,0.24,0.24,16,39,13,2,3,0,0.0,0.0,0.0,100,90,38.0,74.62
Branco van den Boomen,NED,MF,30.0,Angers,FRA-Ligue 1,1238,13.76,0,1,0.0,0.07,5,69,15,7,3,0,0.0,0.0,0.0,85,40,34.0,32.86
Brando Bettazzi,ITA,MF,17.0,Pisa,ITA-Serie A,14,0.16,0,0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,90,40,48.28,28.04
Branimir Mlacic,CRO,DF,18.0,Udinese,ITA-Serie A,166,1.84,0,0,0.0,0.0,0,1,3,2,2,0,0.0,0.0,0.0,90,40,48.28,28.46
Breel Embolo,SUI,FW,28.0,Rennes,FRA-Ligue 1,1872,20.8,8,3,0.38,0.14,18,7,14,4,3,0,0.0,0.0,0.0,85,40,34.0,35.34
Brendan Chardonnet,FRA,DF,30.0,Brest,FRA-Ligue 1,2546,28.29,1,3,0.04,0.11,6,7,18,34,6,0,0.0,0.0,0.0,85,40,34.0,37.98
Brenden Aaronson,USA,"MF,FW",24.0,Leeds United,ENG-Premier League,2449,27.21,4,5,0.15,0.18,17,37,27,17,3,0,0.0,0.0,0.0,100,40,38.0,36.59
Brennan Johnson,WAL,"MF,FW",24.0,Crystal Palace,ENG-Premier League,1722,19.13,2,1,0.1,0.05,5,68,16,4,6,0,0.0,0.0,0.0,100,70,38.0,59.57
Brian Brobbey,NED,FW,23.0,Sunderland,ENG-Premier League,1927,21.41,7,1,0.33,0.05,18,2,2,0,6,0,0.0,0.0,0.0,100,40,38.0,34.76
Brian Madjo,LUX,FW,16.0,Metz,FRA-Ligue 1,157,1.74,0,0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,85,40,34.0,28.61
Brice Samba,FRA,GK,31.0,Rennes,FRA-Ligue 1,2880,32.0,0,0,0.0,0.0,0,0,1,0,5,0,84.0,10.0,44.0,85,40,34.0,39.29
Brooke Norton-Cuffy,ENG,"MF,DF",21.0,Genoa,ITA-Serie A,2212,24.58,2,1,0.08,0.04,6,80,31,11,5,1,0.0,0.0,0.0,90,40,48.28,34.11
Brugui,ESP,"MF,FW",28.0,Levante,ESP-La Liga,1005,11.17,1,1,0.09,0.09,9,11,6,4,1,1,0.0,0.0,0.0,95,40,38.0,31.53
Bruno Fernandes,POR,MF,30.0,Manchester Utd,ENG-Premier League,3063,34.03,9,21,0.26,0.62,24,181,35,21,5,0,0.0,0.0,0.0,100,85,38.0,82.34
Bruno Guimarães,BRA,MF,27.0,Newcastle,ENG-Premier League,2453,27.26,9,5,0.33,0.18,23,82,41,16,6,0,0.0,0.0,0.0,100,75,38.0,68.64
Bruno Petković,CRO,FW,30.0,Kocaelispor,TUR-Super Lig,1334,14.82,7,0,0.47,0.0,12,3,9,1,2,0,0.0,0.0,0.0,90,40,34.0,33.23
Bruno Viana,BRA,DF,30.0,Alanyaspor,TUR-Super Lig,389,4.32,0,0,0.0,0.0,0,1,7,4,1,0,0.0,0.0,0.0,90,40,34.0,29.52
Bryan Cristante,ITA,MF,30.0,Roma,ITA-Serie A,3094,34.38,2,1,0.06,0.03,8,19,43,28,6,0,0.0,0.0,0.0,90,75,48.28,68.52
Bryan Gil,ESP,"MF,FW",24.0,Girona,ESP-La Liga,1578,17.53,0,3,0.0,0.17,7,52,18,9,6,0,0.0,0.0,0.0,95,75,38.0,62.88
Bryan Mbeumo,CMR,"MF,FW",25.0,Manchester Utd,ENG-Premier League,2609,28.99,11,3,0.38,0.1,32,105,11,7,4,0,0.0,0.0,0.0,100,85,38.0,78.95
Bryan Okoh,SUI,DF,22.0,Auxerre,FRA-Ligue 1,1005,11.17,3,0,0.27,0.0,3,0,9,26,2,0,0.0,0.0,0.0,85,40,34.0,31.94
Bryan Zaragoza,ESP,"FW,MF",23.0,Celta Vigo,ESP-La Liga,1266,14.07,1,2,0.07,0.14,13,76,6,2,2,0,0.0,0.0,0.0,95,40,38.0,32.44
Buba Sangaré,ESP,"DF,MF",17.0,Elche,ESP-La Liga,538,5.98,0,0,0.0,0.0,0,12,12,8,3,0,0.0,0.0,0.0,95,40,38.0,29.89
Budu Zivzivadze,GEO,FW,31.0,Heidenheim,GER-Bundesliga,1142,12.69,6,0,0.47,0.0,14,6,10,1,2,1,0.0,0.0,0.0,90,40,34.0,32.48
Bukayo Saka,ENG,"FW,MF",23.0,Arsenal,ENG-Premier League,2222,24.69,7,5,0.28,0.2,27,122,19,16,2,0,0.0,0.0,0.0,100,95,38.0,85.02
Burak Kapacak,TUR,MF,25.0,Kayserispor,TUR-Super Lig,350,3.89,0,1,0.0,0.26,2,19,11,8,1,0,0.0,0.0,0.0,90,40,34.0,29.37
Burhan Ersoy,TUR,MF,22.0,Karagümrük,TUR-Super Lig,4,0.04,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,90,40,34.0,28.01
Bünyamin Balcı,TUR,DF,25.0,Antalyaspor,TUR-Super Lig,2349,26.1,0,4,0.0,0.15,2,56,37,28,5,0,0.0,0.0,0.0,90,40,34.0,37.21
CJ Egan-Riley,ENG,"DF,MF",22.0,Marseille,FRA-Ligue 1,624,6.93,0,0,0.0,0.0,0,1,7,2,1,1,0.0,0.0,0.0,85,70,34.0,53.28
Cafú,POR,MF,32.0,Kasımpaşa,TUR-Super Lig,1326,14.73,0,1,0.0,0.07,3,43,6,10,6,2,0.0,0.0,0.0,90,40,34.0,33.2
Caio Henrique,BRA,"DF,MF",28.0,Monaco,FRA-Ligue 1,1536,17.07,0,2,0.0,0.12,0,90,11,12,2,0,0.0,0.0,0.0,85,70,34.0,59.54
Caleb Ekuban,GHA,"FW,MF",31.0,Genoa,ITA-Serie A,994,11.04,4,1,0.36,0.09,10,5,1,5,0,0,0.0,0.0,0.0,90,40,48.28,30.74
Calebe,BRA,MF,25.0,Alavés,ESP-La Liga,752,8.36,0,0,0.0,0.0,1,16,14,9,2,0,0.0,0.0,0.0,95,40,38.0,30.64
Callum Hudson-Odoi,ENG,MF,24.0,Nottingham,ENG-Premier League,1841,20.46,3,4,0.15,0.2,10,91,7,8,0,0,0.0,0.0,0.0,100,40,38.0,34.46
Callum Marshall,NIR,FW,20.0,West Ham,ENG-Premier League,60,0.67,0,0,0.0,0.0,0,0,0,2,0,0,0.0,0.0,0.0,100,40,38.0,28.21
Callum Olusesi,ENG,MF,18.0,Tottenham,ENG-Premier League,15,0.17,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,100,80,38.0,56.11
Callum Wilson,ENG,FW,33.0,West Ham,ENG-Premier League,1251,13.9,7,1,0.5,0.07,16,5,2,3,1,0,0.0,0.0,0.0,100,40,38.0,32.39
Calvin Bassey,NGA,DF,25.0,Fulham,ENG-Premier League,2534,28.16,1,0,0.04,0.0,1,14,32,22,5,0,0.0,0.0,0.0,100,40,38.0,36.89
Calvin Stengs,NED,"FW,MF",26.0,Pisa,ITA-Serie A,46,0.51,0,0,0.0,0.0,1,3,0,0,0,0,0.0,0.0,0.0,90,40,48.28,28.13
Calvin Verdonk,IDN,DF,28.0,Lille,FRA-Ligue 1,790,8.78,0,0,0.0,0.0,1,30,10,15,3,1,0.0,0.0,0.0,85,70,34.0,54.42
Cameron Puertas,SUI,MF,26.0,Werder Bremen,GER-Bundesliga,1846,20.51,1,2,0.05,0.1,8,77,37,19,6,0,0.0,0.0,0.0,90,40,34.0,35.24
Can Güner,ARG,FW,17.0,Galatasaray,TUR-Super Lig,1,0.01,0,0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,90,100,34.0,70.01
Can Keles,AUT,"FW,MF",23.0,Kocaelispor,TUR-Super Lig,861,9.57,0,1,0.0,0.1,4,39,7,8,2,1,0.0,0.0,0.0,90,40,34.0,31.38
Can Uzun,TUR,MF,19.0,Frankfurt,GER-Bundesliga,1156,12.84,8,4,0.62,0.31,19,24,9,3,3,0,0.0,0.0,0.0,90,75,34.0,61.0
Caoimhín Kelleher,IRL,GK,26.0,Brentford,ENG-Premier League,3330,37.0,0,0,0.0,0.0,0,0,0,1,1,0,105.0,10.0,49.0,100,40,38.0,39.68
Carl Klaus,GER,GK,31.0,Union Berlin,GER-Bundesliga,330,3.67,0,0,0.0,0.0,0,0,0,0,0,0,9.0,1.0,4.0,90,40,34.0,29.3
Carl Starfelt,SWE,DF,30.0,Celta Vigo,ESP-La Liga,1491,16.57,0,0,0.0,0.0,1,0,16,16,3,1,0.0,0.0,0.0,95,40,38.0,33.23
Carlens Arcus,HAI,DF,29.0,Angers,FRA-Ligue 1,2040,22.67,0,3,0.0,0.13,1,38,29,29,7,0,0.0,0.0,0.0,85,40,34.0,36.0
Carles Aleñá,ESP,MF,27.0,Alavés,ESP-La Liga,1989,22.1,0,4,0.0,0.18,5,121,24,12,5,0,0.0,0.0,0.0,95,40,38.0,34.98
Carlo Holse,DEN,MF,26.0,Samsunspor,TUR-Super Lig,2600,28.89,8,3,0.28,0.1,22,30,38,21,1,0,0.0,0.0,0.0,90,40,34.0,38.2
Carlos Alcaraz,ARG,MF,22.0,Everton,ENG-Premier League,689,7.66,0,1,0.0,0.13,5,6,9,2,4,0,0.0,0.0,0.0,100,40,38.0,30.42
Carlos Augusto,BRA,"MF,DF",26.0,Inter,ITA-Serie A,1763,19.59,1,1,0.05,0.05,6,46,22,19,6,0,0.0,0.0,0.0,90,95,48.28,78.06
Carlos Baleba,CMR,MF,21.0,Brighton,ENG-Premier League,1652,18.36,0,0,0.0,0.0,2,0,21,28,5,0,0.0,0.0,0.0,100,75,38.0,63.37
Carlos Ballestero,ESP,DF,21.0,Alavés,ESP-La Liga,1,0.01,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,95,40,38.0,28.0
Carlos Benavídez,URU,DF,27.0,Alavés,ESP-La Liga,324,3.6,0,0,0.0,0.0,2,1,6,3,2,1,0.0,0.0,0.0,95,40,38.0,29.14
Carlos Dominguez,ESP,DF,24.0,Celta Vigo,ESP-La Liga,610,6.78,0,0,0.0,0.0,1,1,8,5,1,0,0.0,0.0,0.0,95,40,38.0,30.14
Carlos Espí,ESP,FW,20.0,Levante,ESP-La Liga,1343,14.92,11,0,0.74,0.0,24,1,7,9,3,0,0.0,0.0,0.0,95,40,38.0,32.71
Carlos Macià,ESP,MF,16.0,Villarreal,ESP-La Liga,83,0.92,0,0,0.0,0.0,0,0,0,2,1,0,0.0,0.0,0.0,95,75,38.0,53.04
Carlos Mané,GNB,MF,31.0,Kayserispor,TUR-Super Lig,1043,11.59,0,1,0.0,0.09,5,31,11,9,2,0,0.0,0.0,0.0,90,40,34.0,32.09
Carlos Martín,ESP,"MF,FW",23.0,Rayo Vallecano,ESP-La Liga,450,5.0,0,0,0.0,0.0,4,8,7,0,1,0,0.0,0.0,0.0,95,40,38.0,29.58
Carlos Romero,ESP,DF,23.0,Espanyol,ESP-La Liga,3191,35.46,6,3,0.17,0.08,12,89,60,38,4,0,0.0,0.0,0.0,95,40,38.0,39.2
Carlos Soler,ESP,MF,28.0,Real Sociedad,ESP-La Liga,2317,25.74,4,3,0.16,0.12,19,73,22,16,3,1,0.0,0.0,0.0,95,75,38.0,67.74
Carlos Vicente,ESP,MF,26.0,Alavés,ESP-La Liga,1258,13.98,5,0,0.36,0.0,6,128,18,7,1,0,0.0,0.0,0.0,95,40,38.0,32.41
Carlos Álvarez,ESP,MF,21.0,Levante,ESP-La Liga,1890,21.0,3,1,0.14,0.05,11,54,13,13,3,0,0.0,0.0,0.0,95,40,38.0,34.63
Carmona,ESP,"DF,MF",23.0,Sevilla,ESP-La Liga,2565,28.5,1,3,0.04,0.11,3,48,40,45,13,0,0.0,0.0,0.0,95,40,38.0,37.0
Carney Chukwuemeka,AUT,"MF,FW",21.0,Dortmund,GER-Bundesliga,919,10.21,2,0,0.2,0.0,2,1,15,6,2,0,0.0,0.0,0.0,90,95,34.0,75.06
Cas Odenthal,NED,DF,24.0,Sassuolo,ITA-Serie A,1,0.01,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,90,40,48.28,28.0
Casemiro,BRA,MF,33.0,Manchester Utd,ENG-Premier League,2571,28.57,9,2,0.32,0.07,18,19,45,30,11,1,0.0,0.0,0.0,100,85,38.0,78.67
Casper Højer Nielsen,DEN,DF,30.0,Rizespor,TUR-Super Lig,2702,30.02,0,1,0.0,0.03,3,111,30,33,6,0,0.0,0.0,0.0,90,40,34.0,38.6
Cassiano Kiala,GER,DF,16.0,Bayern Munich,GER-Bundesliga,1,0.01,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,90,100,34.0,70.01
Castello Lukeba,FRA,DF,22.0,RB Leipzig,GER-Bundesliga,2176,24.18,1,0,0.04,0.0,2,3,14,31,3,0,0.0,0.0,0.0,90,90,34.0,82.2
Castrin,ESP,DF,22.0,Sevilla,ESP-La Liga,1277,14.19,1,0,0.07,0.0,3,1,15,22,4,0,0.0,0.0,0.0,95,40,38.0,32.48
Catena,ESP,DF,30.0,Osasuna,ESP-La Liga,3071,34.12,3,2,0.09,0.06,4,1,29,32,11,1,0.0,0.0,0.0,95,40,38.0,38.77
Cedric Zesiger,SUI,DF,27.0,Augsburg,GER-Bundesliga,1816,20.18,0,0,0.0,0.0,3,34,24,17,7,0,0.0,0.0,0.0,90,40,34.0,35.12
Celil Yüksel,TUR,MF,27.0,Samsunspor,TUR-Super Lig,1155,12.83,0,1,0.0,0.08,2,28,25,17,2,0,0.0,0.0,0.0,90,40,34.0,32.53
Cem Üstündag,AUT,MF,24.0,Kasımpaşa,TUR-Super Lig,940,10.44,0,0,0.0,0.0,0,12,13,7,2,0,0.0,0.0,0.0,90,40,34.0,31.68
Cengiz Ünder,TUR,MF,28.0,Beşiktaş,TUR-Super Lig,1173,13.03,5,3,0.38,0.23,18,73,10,8,3,0,0.0,0.0,0.0,90,100,34.0,81.5
Cenk Tosun,TUR,"FW,MF",34.0,Kasımpaşa,TUR-Super Lig,433,4.81,1,1,0.21,0.21,1,0,1,1,4,0,0.0,0.0,0.0,90,40,34.0,29.7
Cenk Özkacar,TUR,DF,24.0,Köln,GER-Bundesliga,1791,19.9,0,0,0.0,0.0,4,3,26,24,2,0,0.0,0.0,0.0,90,40,34.0,35.02
Cenny Neumann,GER,DF,18.0,Köln,GER-Bundesliga,74,0.82,0,0,0.0,0.0,0,0,1,1,0,0,0.0,0.0,0.0,90,40,34.0,28.29
Cesare Casadei,ITA,MF,22.0,Torino,ITA-Serie A,1997,22.19,6,0,0.27,0.0,17,4,16,9,5,0,0.0,0.0,0.0,90,40,48.28,33.52
Chadi Riad,MAR,DF,22.0,Crystal Palace,ENG-Premier League,552,6.13,0,1,0.0,0.16,2,6,5,4,2,0,0.0,0.0,0.0,100,70,38.0,52.39
Chancel Mbemba,COD,DF,30.0,Lille,FRA-Ligue 1,954,10.6,0,0,0.0,0.0,3,0,8,13,3,0,0.0,0.0,0.0,85,70,34.0,55.55
Charalampos Kostoulas,GRE,FW,18.0,Brighton,ENG-Premier League,369,4.1,2,1,0.49,0.24,8,6,6,1,2,0,0.0,0.0,0.0,100,75,38.0,54.93
Charles André Raux,FRA,MF,23.0,Eyüpspor,TUR-Super Lig,503,5.59,2,0,0.36,0.0,4,6,7,3,3,0,0.0,0.0,0.0,90,40,34.0,29.97
Charles De Ketelaere,BEL,"MF,FW",24.0,Atalanta,ITA-Serie A,2177,24.19,3,5,0.12,0.21,16,46,15,5,4,0,0.0,0.0,0.0,90,75,48.28,63.77
Charles Herrmann,GER,FW,19.0,Gladbach,GER-Bundesliga,5,0.06,0,1,0.0,16.67,0,1,0,1,0,0,0.0,0.0,0.0,90,40,34.0,28.02
Charles Pickel,COD,MF,28.0,Espanyol,ESP-La Liga,707,7.86,1,0,0.13,0.0,4,2,6,6,4,2,0.0,0.0,0.0,95,40,38.0,30.48
Charles Vanhoutte,BEL,MF,26.0,Nice,FRA-Ligue 1,1772,19.69,0,2,0.0,0.1,1,13,28,21,7,0,0.0,0.0,0.0,85,40,34.0,34.95
Charlie Cresswell,ENG,DF,22.0,Toulouse,FRA-Ligue 1,2533,28.14,3,2,0.11,0.07,12,2,14,30,8,0,0.0,0.0,0.0,85,40,34.0,37.93
Cheikh Niasse,SEN,MF,25.0,Hellas Verona,ITA-Serie A,970,10.78,0,1,0.0,0.09,1,14,14,15,1,0,0.0,0.0,0.0,90,40,48.28,30.68
Cheikh Tidiane Sabaly,SEN,"MF,FW",26.0,Metz,FRA-Ligue 1,967,10.74,0,2,0.0,0.19,4,14,13,3,2,0,0.0,0.0,0.0,85,40,34.0,31.79
Chema,ESP,MF,20.0,Stuttgart,GER-Bundesliga,1310,14.56,3,0,0.21,0.0,6,0,16,31,5,0,0.0,0.0,0.0,90,75,34.0,62.14
Chemsdine Talbi,MAR,"MF,FW",20.0,Sunderland,ENG-Premier League,1561,17.34,4,1,0.23,0.06,10,50,6,3,0,0,0.0,0.0,0.0,100,40,38.0,33.48
Cher Ndour,ITA,MF,21.0,Fiorentina,ITA-Serie A,1876,20.84,3,0,0.14,0.0,8,20,17,15,2,0,0.0,0.0,0.0,90,40,48.28,33.18
Cherif Ndiaye,SEN,"FW,MF",29.0,Samsunspor,TUR-Super Lig,1420,15.78,7,1,0.44,0.06,12,4,11,0,4,1,0.0,0.0,0.0,90,40,34.0,33.57
Cheveyo Muy,NED,FW,18.0,Milan,ITA-Serie A,5,0.06,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,90,80,48.28,56.03
Chibuike Nwaiwu,NGA,DF,22.0,Trabzonspor,TUR-Super Lig,1309,14.54,3,1,0.21,0.07,5,1,19,21,0,0,0.0,0.0,0.0,90,90,34.0,74.55
Chidera Ejuke,NGA,"MF,FW",27.0,Sevilla,ESP-La Liga,932,10.36,1,1,0.1,0.1,3,27,13,7,0,0,0.0,0.0,0.0,95,40,38.0,31.27
Chidozie Awaziem,NGA,DF,28.0,Nantes,FRA-Ligue 1,2231,24.79,1,2,0.04,0.08,4,2,20,20,7,0,0.0,0.0,0.0,85,40,34.0,36.75
Chris Führich,GER,MF,27.0,Stuttgart,GER-Bundesliga,1698,18.87,7,7,0.37,0.37,23,86,9,3,2,0,0.0,0.0,0.0,90,75,34.0,64.99
Chris Richards,USA,DF,25.0,Crystal Palace,ENG-Premier League,2827,31.41,1,0,0.03,0.0,2,14,35,43,4,0,0.0,0.0,0.0,100,70,38.0,66.36
Chris Rigg,ENG,MF,18.0,Sunderland,ENG-Premier League,761,8.46,1,1,0.12,0.12,3,11,8,4,1,0,0.0,0.0,0.0,100,40,38.0,30.67
Chris Wood,NZL,FW,33.0,Nottingham,ENG-Premier League,901,10.01,3,0,0.3,0.0,9,1,1,1,0,0,0.0,0.0,0.0,100,40,38.0,31.16
