player,nation,pos,team,age,league,playing time_min,performance_gls,performance_ast,performance_crdy,performance_crdr,performance_tklw,performance_int,performance_crs,standard_sot,performance_saves,performance_ga,performance_cs
Lucas Boyé,ar ARG,FW,Alavés,29,ESP-La Liga,1958,11,1,4,1,25,7,10,21,,,
Enzo Boyomo,cm CMR,DF,Osasuna,23,ESP-La Liga,2542,1,2,7,0,36,17,10,4,,,
Josip Brekalo,hr CRO,"MF,FW",Oviedo,27,ESP-La Liga,486,0,0,1,0,7,2,26,3,,,
Abel Bretones,es ESP,"MF,DF",Osasuna,24,ESP-La Liga,1624,1,2,5,1,12,16,34,3,,,
Brugui,es ESP,"MF,FW",Levante,28,ESP-La Liga,1005,1,1,1,1,6,4,11,9,,,
Tajon Buchanan,ca CAN,MF,Villarreal,26,ESP-La Liga,1819,7,1,8,0,19,22,33,11,,,
Ante Budimir,hr CRO,FW,Osasuna,34,ESP-La Liga,2938,17,0,3,0,16,6,4,41,,,
Manu Bueno,es ESP,MF,Sevilla,21,ESP-La Liga,272,0,0,2,0,1,0,2,0,,,
Pau Cabanes,es ESP,FW,Villarreal,20,ESP-La Liga,16,0,0,0,0,0,0,0,0,,,
Jorge Cabello,es ESP,DF,Levante,21,ESP-La Liga,362,0,0,1,0,3,0,0,0,,,
Leandro Cabrera,uy URU,DF,Espanyol,34,ESP-La Liga,3330,3,0,4,0,23,23,20,12,,,
Miguel Calatayud,es ESP,DF,Mallorca,19,ESP-La Liga,43,0,0,0,0,0,0,1,0,,,
Calebe,br BRA,MF,Alavés,25,ESP-La Liga,752,0,0,2,0,14,9,16,1,,,
Fernando Calero,es ESP,DF,Espanyol,29,ESP-La Liga,2148,0,0,5,0,18,31,2,1,,,
Duje Ćaleta-Car,hr CRO,DF,Real Sociedad,28,ESP-La Liga,2150,1,0,6,1,14,29,1,3,,,
Dani Calvo,es ESP,DF,Oviedo,31,ESP-La Liga,1611,0,0,3,0,15,10,1,0,,,
Dawda Camara,mr MTN,FW,Girona,22,ESP-La Liga,72,0,0,0,0,0,1,0,1,,,
Eduardo Camavinga,fr FRA,MF,Real Madrid,22,ESP-La Liga,1528,1,0,2,0,37,15,2,2,,,
Sergio Camello,es ESP,"FW,MF",Rayo Vallecano,24,ESP-La Liga,823,5,1,3,1,8,4,3,14,,,
João Cancelo,pt POR,DF,Barcelona,31,ESP-La Liga,954,2,2,1,0,19,11,31,4,,,
Dani Cárdenas,es ESP,GK,Rayo Vallecano,28,ESP-La Liga,360,0,0,0,0,1,0,0,0,19,7,1
Sergi Cardona,es ESP,DF,Villarreal,26,ESP-La Liga,1970,1,4,4,0,31,37,75,5,,,
Fábio Cardoso,pt POR,DF,Sevilla,31,ESP-La Liga,295,0,0,0,0,3,4,0,0,,,
Johnny Cardoso,us USA,MF,Atlético Madrid,23,ESP-La Liga,887,0,0,5,0,21,16,3,0,,,
David Carmo,ao ANG,DF,Oviedo,26,ESP-La Liga,1786,1,0,8,1,18,21,2,3,,,
Carmona,es ESP,"DF,MF",Sevilla,23,ESP-La Liga,2565,1,3,13,0,40,45,48,3,,,
Sergio Carreira,es ESP,MF,Celta Vigo,24,ESP-La Liga,2694,2,1,2,0,18,27,32,7,,,
Gorka Carrera,es ESP,FW,Real Sociedad,20,ESP-La Liga,62,0,0,1,0,0,1,0,1,,,
Álvaro Carreras,es ESP,DF,Real Madrid,22,ESP-La Liga,2332,2,3,5,1,18,38,30,3,,,
Dani Carvajal,es ESP,DF,Real Madrid,33,ESP-La Liga,977,0,1,0,0,12,6,11,1,,,
Marc Casado,es ESP,MF,Barcelona,21,ESP-La Liga,989,0,1,1,0,9,7,1,0,,,
Lluc Castell,es ESP,FW,Espanyol,18,ESP-La Liga,19,0,0,0,0,0,0,0,0,,,
Castrin,es ESP,DF,Sevilla,22,ESP-La Liga,1277,1,0,4,0,15,22,1,3,,,
Jonny Castro,es ESP,DF,Alavés,31,ESP-La Liga,2994,0,0,7,0,41,40,23,3,,,
Catena,es ESP,DF,Osasuna,30,ESP-La Liga,3071,3,2,11,1,29,32,1,4,,,
Santi Cazorla,es ESP,MF,Oviedo,40,ESP-La Liga,940,0,1,2,1,10,4,71,1,,,
Dani Ceballos,es ESP,MF,Real Madrid,28,ESP-La Liga,486,0,0,1,0,10,7,3,0,,,
Lucas Cepeda,cl CHI,MF,Elche,22,ESP-La Liga,402,1,0,1,0,6,1,17,5,,,
Jorge Cestero,es ESP,MF,Real Madrid,19,ESP-La Liga,13,0,0,0,0,0,0,0,0,,,
Ilyas Chaira,ma MAR,"MF,FW",Oviedo,24,ESP-La Liga,2447,6,2,2,1,34,4,74,35,,,
Pep Chavarría,es ESP,DF,Rayo Vallecano,27,ESP-La Liga,2682,1,2,6,1,31,32,95,3,,,
Andreas Christensen,dk DEN,DF,Barcelona,29,ESP-La Liga,409,0,0,2,0,3,2,0,2,,,
Víctor Chust,es ESP,DF,Elche,25,ESP-La Liga,2166,1,0,8,1,35,20,36,3,,,
Pathé Ciss,sn SEN,"MF,DF",Rayo Vallecano,31,ESP-La Liga,1999,2,1,9,2,35,35,1,8,,,
Santiago Colombatto,ar ARG,MF,Oviedo,28,ESP-La Liga,2064,0,1,6,0,22,14,67,2,,,
Eray Cömert,ch SUI,DF,Valencia,27,ESP-La Liga,1337,2,1,3,1,14,21,1,3,,,
Santi Comesaña,es ESP,MF,Villarreal,28,ESP-La Liga,2407,3,6,5,1,25,31,12,7,,,
Copete,es ESP,DF,Valencia,25,ESP-La Liga,1759,0,0,5,0,15,25,4,0,,,
Iván Corralejo,es ESP,MF,Real Betis,18,ESP-La Liga,15,0,0,0,0,0,0,0,0,,,
Thierry Correia,pt POR,"DF,MF",Valencia,26,ESP-La Liga,1392,0,2,5,0,22,18,42,1,,,
Alvaro Cortes,es ESP,DF,Barcelona,20,ESP-La Liga,90,0,0,0,0,1,1,0,0,,,
Paco Cortés,es ESP,"MF,FW",Levante,17,ESP-La Liga,472,0,0,2,0,1,2,20,4,,,
Coba da Costa,es ESP,MF,Getafe,23,ESP-La Liga,348,0,0,1,0,6,0,23,1,,,
Logan Costa,cv CPV,DF,Villarreal,24,ESP-La Liga,30,0,0,0,0,0,0,0,0,,,
Samu Costa,pt POR,MF,Mallorca,24,ESP-La Liga,2697,7,2,11,0,37,26,30,16,,,
David Costas,es ESP,DF,Oviedo,30,ESP-La Liga,2066,1,0,3,0,22,27,1,1,,,
Thibaut Courtois,be BEL,GK,Real Madrid,33,ESP-La Liga,2880,0,0,1,0,1,0,0,0,70,28,13
Juan Cruz Armada,es ESP,DF,Osasuna,33,ESP-La Liga,649,0,0,2,0,3,4,5,0,,,
Pau Cubarsí,es ESP,DF,Barcelona,18,ESP-La Liga,2703,1,0,3,0,28,30,0,2,,,
Miguel Cubo,es ESP,FW,Atlético Madrid,17,ESP-La Liga,50,1,0,0,0,2,0,0,2,,,
Cucho,co COL,FW,Real Betis,26,ESP-La Liga,2580,11,3,5,0,16,11,23,27,,,
Pablo Cuñat,es ESP,GK,Levante,23,ESP-La Liga,180,0,0,0,0,0,0,0,0,11,5,0
Damián,es ESP,MF,Getafe,22,ESP-La Liga,151,0,0,0,0,4,3,0,0,,,
Arnaut Danjuma,nl NED,"MF,FW",Valencia,28,ESP-La Liga,1628,3,2,0,0,10,2,49,14,,,
Sergi Darder,es ESP,MF,Mallorca,31,ESP-La Liga,2680,1,5,3,0,13,23,165,13,,,
Davinchi,es ESP,DF,Getafe,17,ESP-La Liga,700,0,0,2,0,17,7,20,2,,,
Leander Dendoncker,be BEL,MF,Oviedo,30,ESP-La Liga,1330,1,0,2,0,25,11,5,4,,,
Nelson Deossa,co COL,MF,Real Betis,25,ESP-La Liga,743,0,0,3,0,8,6,7,0,,,
Ibrahim Diabaté,ci CIV,FW,Alavés,25,ESP-La Liga,578,2,0,1,0,1,2,0,5,,,
Bambo Diaby,sn SEN,DF,Elche,27,ESP-La Liga,102,0,0,1,0,0,1,0,0,,,
Mouctar Diakhaby,gn GUI,DF,Valencia,28,ESP-La Liga,543,1,0,3,0,6,9,0,3,,,
Grady Diangana,cd COD,"MF,FW",Elche,27,ESP-La Liga,926,1,0,3,0,6,4,12,2,,,
Moussa Diarra,ml MLI,DF,Alavés,24,ESP-La Liga,216,0,0,1,0,2,1,1,0,,,
Alassane Diatta,sn SEN,MF,Villarreal,20,ESP-La Liga,25,0,0,0,0,0,0,0,0,,,
Brahim Díaz,ma MAR,"FW,MF",Real Madrid,25,ESP-La Liga,1257,1,6,2,0,10,2,20,7,,,
Daniel Díaz,es ESP,FW,Real Sociedad,19,ESP-La Liga,18,0,0,0,0,0,0,1,0,,,
Julio Diaz,es ESP,DF,Atlético Madrid,20,ESP-La Liga,310,0,1,2,0,3,4,6,0,,,
Pedro Díaz,es ESP,MF,Rayo Vallecano,27,ESP-La Liga,1870,0,1,2,0,25,9,38,6,,,
Stole Dimitrievski,mk MKD,GK,Valencia,31,ESP-La Liga,1800,0,0,1,0,0,1,0,0,52,25,5
Matías Dituro,ar ARG,GK,Elche,38,ESP-La Liga,1980,0,0,1,0,0,1,0,0,64,29,4
Djené,tg TOG,"DF,MF",Getafe,33,ESP-La Liga,2578,0,0,10,2,24,38,11,0,,,
Marko Dmitrović,rs SRB,GK,Espanyol,33,ESP-La Liga,3330,0,0,0,0,2,0,0,0,133,54,10
Tyrhys Dolan,eng ENG,MF,Espanyol,23,ESP-La Liga,2415,2,5,7,1,35,15,105,12,,,
Marc Domenech,es ESP,MF,Mallorca,19,ESP-La Liga,214,0,1,0,0,2,0,7,0,,,
Carlos Dominguez,es ESP,DF,Celta Vigo,24,ESP-La Liga,610,0,0,1,0,8,5,1,1,,,
John Donald,es ESP,"DF,MF",Elche,24,ESP-La Liga,665,1,0,3,0,12,8,0,2,,,
Domingos Duarte,pt POR,DF,Getafe,30,ESP-La Liga,2923,1,1,11,0,18,33,0,4,,,
Pablo Durán,es ESP,"FW,MF",Celta Vigo,24,ESP-La Liga,1425,2,2,1,0,11,7,15,15,,,
Hugo Duro,es ESP,FW,Valencia,25,ESP-La Liga,1979,10,0,4,0,9,3,1,14,,,
Claudio Echeverri,ar ARG,"FW,MF",Girona,19,ESP-La Liga,624,1,1,4,0,6,1,15,7,,,
Ovie Ejaria,eng ENG,MF,Oviedo,27,ESP-La Liga,200,0,0,1,0,2,3,1,1,,,
Chidera Ejuke,ng NGA,"MF,FW",Sevilla,27,ESP-La Liga,932,1,1,0,0,13,7,27,3,,,
Unai Elgezabal,es ESP,"DF,MF",Levante,32,ESP-La Liga,958,1,0,2,0,4,4,0,1,,,
Aritz Elustondo,es ESP,DF,Real Sociedad,31,ESP-La Liga,720,0,1,0,0,8,10,6,2,,,
Endrick,br BRA,FW,Real Madrid,19,ESP-La Liga,12,0,0,0,1,0,0,0,0,,,
Aarón Escandell,es ESP,GK,Oviedo,29,ESP-La Liga,3240,0,1,3,0,0,0,0,0,145,56,10
Xavi Espart,es ESP,DF,Barcelona,18,ESP-La Liga,165,0,0,0,0,1,5,2,0,,,
Carlos Espí,es ESP,FW,Levante,20,ESP-La Liga,1343,11,0,3,0,7,9,1,24,,,
Alfonso Espino,uy URU,"DF,MF",Rayo Vallecano,33,ESP-La Liga,1486,2,0,3,0,33,15,49,9,,,
Marco Esteban,es ESP,DF,Oviedo,19,ESP-La Liga,45,0,0,0,0,0,0,0,0,,,
Karl Etta Eyong,cm CMR,FW,Levante,21,ESP-La Liga,1416,6,2,3,0,11,6,13,21,,,
Karl Etta Eyong,cm CMR,FW,Villarreal,21,ESP-La Liga,256,1,2,0,0,2,0,0,3,,,
Edu Expósito,es ESP,MF,Espanyol,28,ESP-La Liga,2523,1,6,9,0,29,24,254,13,,,
Abde Ezzalzouli,ma MAR,"MF,FW",Real Betis,23,ESP-La Liga,2247,10,8,3,0,32,15,55,26,,,
Omar Falah,es ESP,DF,Oviedo,21,ESP-La Liga,14,0,0,0,0,0,0,0,0,,,
Aleix Febas,es ESP,MF,Elche,29,ESP-La Liga,3160,2,2,10,0,46,27,22,8,,,
Luiz Felipe,it ITA,DF,Rayo Vallecano,28,ESP-La Liga,470,0,0,1,0,8,7,0,1,,,
Kiko Femenía,es ESP,"DF,MF",Getafe,34,ESP-La Liga,2008,1,1,6,0,24,36,43,3,,,
Aitor Fernández,es ESP,GK,Osasuna,34,ESP-La Liga,136,0,0,3,0,0,0,0,0,9,3,0
Dro Fernández,es ESP,MF,Barcelona,17,ESP-La Liga,92,0,0,0,0,0,0,0,0,,,
Manu Fernández,es ESP,DF,Celta Vigo,24,ESP-La Liga,758,0,0,2,0,9,7,0,0,,,
Pelayo Fernandez,es ESP,DF,Rayo Vallecano,22,ESP-La Liga,45,0,0,0,0,0,0,0,0,,,
Roberto Férnandez,es ESP,FW,Espanyol,23,ESP-La Liga,2382,7,3,3,0,5,6,9,23,,,
Thiago Fernández,ar ARG,"MF,FW",Oviedo,21,ESP-La Liga,817,0,4,4,0,7,5,27,5,,,
Toni Fernández,es ESP,FW,Barcelona,17,ESP-La Liga,45,0,0,0,0,0,0,0,0,,,
Álvaro Fidalgo,mx MEX,MF,Real Betis,28,ESP-La Liga,542,1,0,0,0,5,4,6,2,,,
Junior Firpo,do DOM,DF,Real Betis,28,ESP-La Liga,827,0,1,2,0,14,10,19,0,,,
Nicolas Fonseca,uy URU,MF,Oviedo,26,ESP-La Liga,1018,0,0,6,0,25,17,4,1,,,
Álex Forés,es ESP,FW,Oviedo,24,ESP-La Liga,360,0,1,0,0,1,1,2,2,,,
Pablo Fornals,es ESP,MF,Real Betis,29,ESP-La Liga,2848,9,6,2,0,26,34,140,18,,,
Héctor Fort,es ESP,"DF,MF",Elche,18,ESP-La Liga,482,2,2,0,0,3,5,8,5,,,
Fortuño,es ESP,GK,Espanyol,23,ESP-La Liga,90,0,0,0,0,0,0,0,0,2,1,0
Dimitri Foulquier,fr FRA,DF,Valencia,32,ESP-La Liga,1150,0,0,1,0,9,8,11,1,,,
Juan Foyth,ar ARG,DF,Villarreal,27,ESP-La Liga,934,0,0,2,0,13,15,0,0,,,
Alejandro Francés,es ESP,DF,Girona,22,ESP-La Liga,1116,0,2,2,1,15,16,24,4,,,
Alex Freeman,us USA,DF,Villarreal,20,ESP-La Liga,346,0,0,0,0,8,5,1,0,,,
Jorge de Frutos,es ESP,"FW,MF",Rayo Vallecano,28,ESP-La Liga,2463,10,1,3,0,16,11,47,28,,,
Javi Galán,es ESP,DF,Osasuna,30,ESP-La Liga,1672,0,1,3,0,30,27,86,1,,,
Javi Galán,es ESP,DF,Atlético Madrid,30,ESP-La Liga,134,0,0,0,0,2,1,5,0,,,
Iñigo Ruiz de Galarreta,es ESP,MF,Athletic Club,31,ESP-La Liga,2206,1,2,10,0,32,24,62,2,,,
Conor Gallagher,eng ENG,MF,Atlético Madrid,25,ESP-La Liga,679,2,0,2,0,12,11,11,5,,,
Facundo Garcés,my MAS,DF,Alavés,25,ESP-La Liga,793,0,0,3,0,8,7,1,4,,,
Álvaro García,es ESP,"MF,FW",Rayo Vallecano,32,ESP-La Liga,2101,4,5,3,0,15,14,91,19,,,
Eder García,es ESP,FW,Athletic Club,21,ESP-La Liga,38,0,0,1,0,0,0,0,0,,,
Eric García,es ESP,"DF,MF",Barcelona,24,ESP-La Liga,2721,1,1,6,0,44,50,14,7,,,
Fran Garcia,es ESP,"DF,MF",Real Madrid,25,ESP-La Liga,929,1,1,2,1,12,6,28,2,,,
Gonzalo García,es ESP,FW,Real Madrid,21,ESP-La Liga,964,6,1,2,0,7,2,3,11,,,
Hugo García,es ESP,MF,Celta Vigo,18,ESP-La Liga,8,0,0,0,0,0,0,0,0,,,
Joan García,es ESP,GK,Barcelona,24,ESP-La Liga,2700,0,0,1,0,4,1,0,0,74,21,15
Pablo Garcia,es ESP,MF,Real Betis,19,ESP-La Liga,388,0,0,1,0,5,3,3,4,,,
Rubén García,es ESP,"MF,FW",Osasuna,32,ESP-La Liga,2229,2,5,6,0,31,17,154,10,,,
Víctor García,es ESP,"MF,FW",Levante,27,ESP-La Liga,1040,2,1,1,0,15,7,65,8,,,
Federico Gattoni,ar ARG,DF,Sevilla,26,ESP-La Liga,10,0,0,0,0,0,0,0,0,,,
Gavi,es ESP,MF,Barcelona,20,ESP-La Liga,573,0,1,3,0,8,3,2,0,,,
Paulo Gazzaniga,ar ARG,GK,Girona,33,ESP-La Liga,3102,0,0,4,1,1,0,0,0,115,47,6
Mourad El Ghezouani,ma MAR,FW,Elche,27,ESP-La Liga,50,0,0,0,0,3,0,0,0,,,
Bryan Gil,es ESP,"MF,FW",Girona,24,ESP-La Liga,1578,0,3,6,0,18,9,52,7,,,
Moi Gómez,es ESP,MF,Osasuna,31,ESP-La Liga,1201,0,2,3,0,9,11,36,2,,,
Sergio Gómez,es ESP,DF,Real Sociedad,24,ESP-La Liga,2701,0,6,5,1,53,32,153,0,,,
Unai Gómez,es ESP,MF,Athletic Club,22,ESP-La Liga,936,1,1,1,0,8,3,23,7,,,
Valentín Gómez,ar ARG,DF,Real Betis,22,ESP-La Liga,1882,1,0,5,0,25,23,12,5,,,
Hugo González,es ESP,FW,Celta Vigo,22,ESP-La Liga,8,0,0,0,0,1,0,1,0,,,
Nicolás González,ar ARG,"MF,DF",Atlético Madrid,27,ESP-La Liga,1448,5,0,4,1,16,11,27,21,,,
Urko González,es ESP,"DF,MF",Real Sociedad,24,ESP-La Liga,11,0,0,0,0,0,0,0,0,,,
Urko González,es ESP,MF,Espanyol,24,ESP-La Liga,2623,0,1,7,0,33,29,12,1,,,
Andoni Gorosabel,es ESP,DF,Athletic Club,28,ESP-La Liga,1360,0,1,3,0,24,18,55,1,,,
Jon Gorrotxategi,es ESP,MF,Real Sociedad,23,ESP-La Liga,2210,1,3,7,0,29,31,5,1,,,
Mikel Goti,es ESP,MF,Real Sociedad,23,ESP-La Liga,76,0,0,0,0,1,0,3,0,,,
Antoine Griezmann,fr FRA,FW,Atlético Madrid,34,ESP-La Liga,1481,7,4,1,0,9,8,80,25,,,
Nemanja Gudelj,rs SRB,"DF,MF",Sevilla,33,ESP-La Liga,2348,2,0,9,0,23,23,7,9,,,
Gonçalo Guedes,pt POR,MF,Real Sociedad,28,ESP-La Liga,1823,8,4,3,0,16,4,70,18,,,
Javier Guerra,es ESP,"MF,FW",Valencia,22,ESP-La Liga,2061,4,6,3,0,15,23,46,12,,,
Daniel Guerrero,es ESP,MF,Real Betis,20,ESP-La Liga,1,0,0,0,0,0,0,0,0,,,
Ander Guevara,es ESP,MF,Alavés,28,ESP-La Liga,654,1,1,4,1,8,9,6,1,,,
Pape Gueye,sn SEN,MF,Villarreal,26,ESP-La Liga,2131,5,2,8,0,22,35,14,13,,,
Arda Güler,tr TUR,MF,Real Madrid,20,ESP-La Liga,2014,4,9,1,0,28,8,129,19,,,
Gerard Gumbau,es ESP,MF,Rayo Vallecano,30,ESP-La Liga,1175,0,3,4,0,16,11,52,5,,,
Jon Guridi,es ESP,"MF,FW",Alavés,30,ESP-La Liga,1238,0,0,1,0,19,10,12,4,,,
Gorka Guruzeta,es ESP,FW,Athletic Club,28,ESP-La Liga,2363,10,3,6,1,6,11,7,32,,,
Dávid Hancko,sk SVK,DF,Atlético Madrid,27,ESP-La Liga,2432,0,2,2,0,27,19,29,5,,,
Haissem Hassan,eg EGY,"MF,FW",Oviedo,23,ESP-La Liga,1942,0,3,1,0,26,6,113,8,,,
Jorge Herrando,es ESP,DF,Osasuna,24,ESP-La Liga,1600,0,1,3,0,15,22,2,0,,,
Sergio Herrera,es ESP,GK,Osasuna,32,ESP-La Liga,3284,0,0,3,1,0,0,0,0,113,47,7
Yangel Herrera,ve VEN,MF,Real Sociedad,27,ESP-La Liga,526,0,0,2,0,6,1,0,1,,,
Yangel Herrera,ve VEN,MF,Girona,27,ESP-La Liga,110,0,0,0,0,1,1,2,0,,,
Asier Hierro,es ESP,FW,Athletic Club,20,ESP-La Liga,34,0,0,0,0,0,0,0,0,,,
Omar El Hilali,ma MAR,DF,Espanyol,21,ESP-La Liga,2826,0,2,9,0,55,39,57,0,,,
Ali Houary,ma MAR,MF,Elche,19,ESP-La Liga,123,0,0,0,0,2,1,0,0,,,
Dean Huijsen,es ESP,DF,Real Madrid,20,ESP-La Liga,2034,2,2,7,1,18,18,1,5,,,
Pablo Ibáñez,es ESP,MF,Alavés,26,ESP-La Liga,2236,1,1,7,0,37,21,38,13,,,
Stanis Idumbo,be BEL,MF,Sevilla,20,ESP-La Liga,45,0,0,0,0,0,0,0,0,,,
Iglesias,es ESP,DF,Getafe,27,ESP-La Liga,3185,1,2,4,0,72,28,108,5,,,
Borja Iglesias,es ESP,FW,Celta Vigo,32,ESP-La Liga,1900,14,2,7,0,5,0,3,26,,,
Luka Ilić,rs SRB,"MF,FW",Oviedo,26,ESP-La Liga,742,1,0,4,1,5,7,7,5,,,
Isco,es ESP,MF,Real Betis,33,ESP-La Liga,233,1,1,0,0,2,2,9,1,,,
Urko Izeta,es ESP,FW,Athletic Club,25,ESP-La Liga,193,1,0,2,0,0,0,2,5,,,
Jairo Izquierdo,es ESP,"DF,FW",Elche,31,ESP-La Liga,24,0,0,0,0,0,0,3,0,,,
Adnan Januzaj,be BEL,"MF,FW",Sevilla,30,ESP-La Liga,321,0,0,1,0,4,1,30,0,,,
Mikel Jauregizar,es ESP,MF,Athletic Club,21,ESP-La Liga,2831,2,0,6,1,45,48,72,11,,,
David Jiménez,es ESP,DF,Real Madrid,21,ESP-La Liga,76,0,0,0,0,1,0,3,1,,,
Jofre,es ESP,MF,Espanyol,24,ESP-La Liga,930,1,0,1,0,6,6,35,7,,,
Frenkie de Jong,nl NED,MF,Barcelona,28,ESP-La Liga,1636,1,5,4,1,19,17,5,2,,,
Joan Jordán,es ESP,MF,Sevilla,31,ESP-La Liga,25,0,0,1,1,0,0,0,0,,,
Josan,es ESP,"MF,DF",Elche,35,ESP-La Liga,565,0,3,2,0,8,6,72,1,,,
Mateo Joseph,es ESP,"MF,FW",Mallorca,21,ESP-La Liga,1699,2,3,2,0,19,13,14,14,,,
Juanmi,es ESP,"FW,MF",Getafe,32,ESP-La Liga,179,1,0,0,0,0,0,0,1,,,
Luiz Lúcio Reis Júnior,br BRA,GK,Villarreal,24,ESP-La Liga,2520,0,0,3,0,0,1,0,0,72,30,8
Vinicius Júnior,br BRA,"FW,MF",Real Madrid,25,ESP-La Liga,2815,16,5,8,0,15,2,63,46,,,
Ferran Jutglà,es ESP,FW,Celta Vigo,26,ESP-La Liga,1652,9,3,4,0,3,8,19,26,,,
Justin-Noël Kalumba,fr FRA,FW,Mallorca,20,ESP-La Liga,81,0,0,0,0,1,0,2,0,,,
Abu Kamara,eng ENG,MF,Getafe,22,ESP-La Liga,256,0,0,1,0,2,3,9,1,,,
Willy Kambwala,fr FRA,DF,Villarreal,20,ESP-La Liga,86,0,0,0,0,0,0,0,0,,,
Jon Karrikaburu,es ESP,FW,Real Sociedad,22,ESP-La Liga,135,0,0,0,0,2,0,1,2,,,
Kiké,es ESP,FW,Espanyol,35,ESP-La Liga,1734,8,1,3,0,8,4,17,27,,,
Koke,es ESP,MF,Atlético Madrid,33,ESP-La Liga,2219,2,2,6,0,30,19,44,4,,,
Luca Koleosho,it ITA,MF,Espanyol,20,ESP-La Liga,63,0,0,0,0,1,1,5,0,,,
Ville Koski,fi FIN,DF,Alavés,23,ESP-La Liga,282,0,0,0,0,3,4,0,1,,,
Jules Koundé,fr FRA,DF,Barcelona,26,ESP-La Liga,2261,1,3,6,0,24,31,40,4,,,
Lancinet Kourouma,gn GUI,FW,Girona,21,ESP-La Liga,43,0,0,0,1,0,1,0,0,,,
Goduine Koyalipou,cf CTA,FW,Levante,25,ESP-La Liga,247,1,0,1,0,3,1,1,4,,,
Vladyslav Krapyvtsov,ua UKR,GK,Girona,20,ESP-La Liga,136,0,0,0,0,0,0,0,0,4,6,0
Ladislav Krejčí,cz CZE,DF,Girona,26,ESP-La Liga,180,0,0,1,0,0,1,0,0,,,
Takefusa Kubo,jp JPN,MF,Real Sociedad,24,ESP-La Liga,1503,2,4,2,0,18,10,39,12,,,
Marash Kumbulla,al ALB,DF,Mallorca,25,ESP-La Liga,439,0,0,1,0,2,2,2,0,,,
Adrián de la Fuente,es ESP,DF,Levante,26,ESP-La Liga,2711,3,1,5,0,18,48,40,9,,,
Yoel Lago,es ESP,DF,Celta Vigo,21,ESP-La Liga,938,0,0,4,0,10,7,0,0,,,
Aymeric Laporte,es ESP,DF,Athletic Club,31,ESP-La Liga,2058,0,1,4,0,17,27,2,5,,,
Toni Lato,es ESP,"DF,MF",Mallorca,27,ESP-La Liga,583,0,1,3,0,8,6,26,0,,,
Robin Le Normand,es ESP,DF,Atlético Madrid,28,ESP-La Liga,1789,1,1,5,0,20,20,3,1,,,
Álvaro Leiva,es ESP,FW,Real Madrid,22,ESP-La Liga,4,0,0,0,0,0,0,0,0,,,
Florian Lejeune,fr FRA,DF,Rayo Vallecano,34,ESP-La Liga,3230,2,1,7,0,47,47,8,18,,,
Youssef Lekhedim,es ESP,"DF,MF",Alavés,19,ESP-La Liga,1335,0,1,7,0,10,12,61,3,,,
Iñigo Lekue,es ESP,DF,Athletic Club,32,ESP-La Liga,600,0,0,2,2,10,4,19,1,,,
Thomas Lemar,fr FRA,MF,Girona,29,ESP-La Liga,1258,3,1,4,0,15,5,56,8,,,
Ruben Lendinez,es ESP,DF,Valencia,22,ESP-La Liga,4,0,0,0,0,1,0,0,0,,,
Clément Lenglet,fr FRA,DF,Atlético Madrid,30,ESP-La Liga,1391,0,1,6,1,10,20,2,0,,,
Robert Lewandowski,pl POL,FW,Barcelona,36,ESP-La Liga,1664,14,2,2,0,3,3,0,29,,,
Adrián Liso,es ESP,"FW,MF",Getafe,20,ESP-La Liga,1702,3,0,5,1,22,4,42,10,,,
Javier Llabrés,es ESP,MF,Mallorca,22,ESP-La Liga,187,0,0,0,0,2,0,10,2,,,
Diego Llorente,es ESP,DF,Real Betis,31,ESP-La Liga,1229,1,0,5,0,15,27,1,3,,,
Marcos Llorente,es ESP,"DF,MF",Atlético Madrid,30,ESP-La Liga,2181,0,4,7,1,41,13,49,6,,,
Giovani Lo Celso,ar ARG,MF,Real Betis,29,ESP-La Liga,1393,2,3,4,0,13,6,61,11,,,
Ademola Lookman,ng NGA,"FW,MF",Atlético Madrid,27,ESP-La Liga,617,4,0,1,0,3,1,12,5,,,
David López,es ESP,DF,Girona,35,ESP-La Liga,293,0,0,0,0,2,0,0,1,,,
David López,es ESP,DF,Mallorca,22,ESP-La Liga,837,0,0,2,0,7,9,0,0,,,
Diego López,es ESP,"MF,FW",Valencia,23,ESP-La Liga,1762,4,1,2,0,16,14,41,8,,,
Fer López,es ESP,"MF,FW",Celta Vigo,21,ESP-La Liga,1170,1,1,3,0,11,6,18,5,,,
Fermin López,es ESP,MF,Barcelona,22,ESP-La Liga,1797,6,9,3,0,22,7,36,25,,,
Hugo López,es ESP,MF,Villarreal,18,ESP-La Liga,56,0,0,0,0,1,1,2,0,,,
Javi López,es ESP,DF,Oviedo,23,ESP-La Liga,1711,0,1,3,1,23,20,60,1,,,
Pau López,es ESP,GK,Real Betis,30,ESP-La Liga,810,0,0,1,0,1,0,0,0,29,11,2
Unai López,es ESP,MF,Rayo Vallecano,29,ESP-La Liga,1612,0,4,8,1,16,21,62,4,,,
Iker Losada,es ESP,MF,Levante,23,ESP-La Liga,902,3,1,1,0,12,10,22,4,,,
Pol Lozano,es ESP,MF,Espanyol,25,ESP-La Liga,2157,2,1,12,1,19,23,29,5,,,
Sergio Lozano,es ESP,MF,Levante,26,ESP-La Liga,12,0,0,0,0,1,0,0,0,,,
Oier Luengo,es ESP,DF,Oviedo,27,ESP-La Liga,225,0,1,1,0,5,2,0,0,,,
