player,nation,pos,team,age,league,playing time_min,performance_gls,performance_ast,performance_crdy,performance_crdr,performance_tklw,performance_int,performance_crs,standard_sot,performance_saves,performance_ga,performance_cs
Dominik Kohr,de GER,DF,Mainz 05,31,GER-Bundesliga,2338,2,0,11,2,35,44,17,4,,,
Adam Kölle,de GER,DF,Heidenheim,19,GER-Bundesliga,93,1,0,1,0,1,1,1,1,,,
Mert Kömür,de GER,"MF,FW",Augsburg,20,GER-Bundesliga,1464,2,4,1,0,13,8,60,16,,,
Samba Konaté,fr FRA,FW,RB Leipzig,16,GER-Bundesliga,4,0,0,0,0,0,0,0,0,,,
Ransford Königsdörffer,gh GHA,"FW,MF",Hamburger SV,23,GER-Bundesliga,2329,5,1,2,0,4,6,21,22,,,
Konstantinos Koulierakis,gr GRE,DF,Wolfsburg,21,GER-Bundesliga,2482,4,1,5,0,25,35,20,12,,,
Alex Král,cz CZE,MF,Union Berlin,27,GER-Bundesliga,459,0,0,1,0,5,2,13,3,,,
Andrej Kramarić,hr CRO,"MF,FW",Hoffenheim,34,GER-Bundesliga,2207,14,6,2,0,5,7,82,33,,,
Tom Krauß,de GER,"MF,DF",Köln,24,GER-Bundesliga,1780,0,2,4,0,43,26,14,2,,,
Rasmus Kristensen,dk DEN,"DF,MF",Frankfurt,28,GER-Bundesliga,1538,2,0,6,1,33,19,33,6,,,
Lukas Kübler,de GER,DF,Freiburg,32,GER-Bundesliga,1587,2,2,3,0,25,31,30,5,,,
Sael Kumbedi,fr FRA,"DF,MF",Wolfsburg,20,GER-Bundesliga,1804,0,5,2,0,33,14,41,0,,,
Jonah Kusi-Asare,se SWE,FW,Bayern Munich,18,GER-Bundesliga,5,0,0,0,0,0,0,0,0,,,
Konrad Laimer,at AUT,DF,Bayern Munich,28,GER-Bundesliga,1994,3,9,9,0,25,17,38,8,,,
Hugo Larsson,se SWE,MF,Frankfurt,21,GER-Bundesliga,1812,2,2,0,0,9,27,9,6,,,
Diogo Leite,pt POR,DF,Union Berlin,26,GER-Bundesliga,1963,0,0,4,0,15,44,7,1,,,
Maxim Leitsch,de GER,DF,Mainz 05,27,GER-Bundesliga,162,0,0,0,0,1,5,2,0,,,
Louis Lemke,de GER,DF,Hamburger SV,15,GER-Bundesliga,1,0,0,0,0,0,0,0,0,,,
Tim Lemperle,de GER,FW,Hoffenheim,23,GER-Bundesliga,1944,8,2,3,1,16,6,27,21,,,
Jamie Leweling,de GER,MF,Stuttgart,24,GER-Bundesliga,2367,7,9,4,0,12,13,123,18,,,
Philipp Lienhart,at AUT,DF,Freiburg,29,GER-Bundesliga,1302,1,0,4,1,13,13,13,2,,,
Jesper Lindstrøm,dk DEN,MF,Wolfsburg,25,GER-Bundesliga,379,0,0,2,0,6,0,7,5,,,
Marin Ljubicic,hr CRO,FW,Union Berlin,23,GER-Bundesliga,22,2,0,0,0,0,0,0,2,,,
Castello Lukeba,fr FRA,DF,RB Leipzig,22,GER-Bundesliga,2176,1,0,3,0,14,31,3,2,,,
Kristoffer Lund,us USA,"DF,MF",Köln,23,GER-Bundesliga,2276,0,2,2,0,26,28,83,3,,,
Senne Lynen,be BEL,MF,Werder Bremen,26,GER-Bundesliga,2752,0,0,4,0,33,77,14,4,,,
Koki Machida,jp JPN,DF,Hoffenheim,27,GER-Bundesliga,44,0,0,1,0,0,1,0,0,,,
Shuto Machino,jp JPN,"FW,MF",Gladbach,25,GER-Bundesliga,1076,3,1,2,0,5,3,10,11,,,
Arne Maier,de GER,MF,Augsburg,26,GER-Bundesliga,4,0,0,0,0,1,1,1,0,,,
Linton Maina,de GER,"MF,FW",Köln,26,GER-Bundesliga,1023,2,0,0,0,6,4,25,8,,,
Patrick Mainka,de GER,DF,Heidenheim,30,GER-Bundesliga,3060,2,2,1,0,30,36,0,9,,,
