Player,Nation,Pos,Age,Team,League,Min,90s,Gls,Ast,per_90_Gls,per_90_Ast,SoT,Crs,TklW,Int,CrdY,CrdR,Saves,CS,GA,Lig_Puani,Takim_Puani,Lig_Max_90s,oynanabilirlik_skoru,Zorluk_Seviyesi
Joshua Zirkzee,NED,"FW,MF",24.0,Manchester Utd,ENG-Premier League,626,6.96,2,1,0.29,0.14,9,5,6,1,3,0,0.0,0.0,0.0,100,85,38.0,64.17,Zor
Josip Brekalo,CRO,"MF,FW",27.0,Oviedo,ESP-La Liga,486,5.4,0,0,0.0,0.0,3,26,7,2,1,0,0.0,0.0,0.0,95,40,38.0,29.71,Zor
Josip Juranović,CRO,MF,29.0,Union Berlin,GER-Bundesliga,330,3.67,1,1,0.27,0.27,1,40,4,0,1,0,0.0,0.0,0.0,90,40,34.0,29.3,Zor
Josip Stanišić,CRO,DF,25.0,Bayern Munich,GER-Bundesliga,1857,20.63,2,3,0.1,0.15,4,36,21,18,1,0,0.0,0.0,0.0,90,100,34.0,88.2,Kolay
Josip Čalušić,CRO,DF,31.0,Konyaspor,TUR-Super Lig,298,3.31,0,0,0.0,0.0,0,0,2,5,1,0,0.0,0.0,0.0,90,40,34.0,29.17,Zor
Josué Casimir,HAI,"MF,FW",23.0,Auxerre,FRA-Ligue 1,1522,16.91,1,0,0.06,0.0,12,54,17,11,6,1,0.0,0.0,0.0,85,40,34.0,33.97,Zor
José Luis García Vayá,ESP,"MF,DF",26.0,Valencia,ESP-La Liga,2225,24.72,2,0,0.08,0.0,3,46,33,19,4,0,0.0,0.0,0.0,95,40,38.0,35.81,Zor
José Luis Gayà,ESP,DF,30.0,Valencia,ESP-La Liga,2448,27.2,1,2,0.04,0.07,3,88,44,23,6,1,0.0,0.0,0.0,95,40,38.0,36.59,Zor
José Luis Morales,ESP,MF,38.0,Levante,ESP-La Liga,363,4.03,1,1,0.25,0.25,4,11,5,3,1,0,0.0,0.0,0.0,95,40,38.0,29.27,Zor
José María Giménez,URU,DF,30.0,Atlético Madrid,ESP-La Liga,1178,13.09,0,1,0.0,0.08,3,0,12,15,3,0,0.0,0.0,0.0,95,92,38.0,73.91,Zor
José Salinas,ESP,DF,24.0,Espanyol,ESP-La Liga,257,2.86,0,0,0.0,0.0,0,7,2,3,2,0,0.0,0.0,0.0,95,40,38.0,28.9,Zor
José Sá,POR,GK,32.0,Wolves,ENG-Premier League,2070,23.0,0,0,0.0,0.0,0,0,0,0,2,0,65.0,4.0,37.0,100,40,38.0,35.26,Zor
Jota Silva,POR,FW,25.0,Beşiktaş,ENG-Premier League,594,6.6,4,0,0.61,0.0,12,10,3,8,1,0,0.0,0.0,0.0,100,100,38.0,75.21,Orta
Jovan Milošević,SRB,FW,20.0,Werder Bremen,GER-Bundesliga,488,5.42,3,1,0.55,0.18,4,3,2,0,2,0,0.0,0.0,0.0,90,40,34.0,29.91,Zor
