Player,Nation,Pos,Age,Team,League,Min,90s,Gls,Ast,per_90_Gls,per_90_Ast,SoT,Crs,TklW,Int,CrdY,CrdR,Saves,CS,GA,Lig_Puani,Takim_Puani
Jonas Adjetey,GHA,DF,21.0,Wolfsburg,GER-Bundesliga,137,1.52,0,0,0.0,0.0,0,4,1,1,1,0,0.0,0.0,0.0,90,40
Jonas Föhrenbach,GER,"DF,MF",29.0,Heidenheim,GER-Bundesliga,2325,25.83,1,1,0.04,0.04,1,78,27,33,3,0,0.0,0.0,0.0,90,40
Jonas Hofmann,GER,MF,33.0,Leverkusen,GER-Bundesliga,1013,11.26,2,2,0.18,0.18,7,37,10,2,3,0,0.0,0.0,0.0,90,85
Jonas Meffert,GER,MF,30.0,Hamburger SV,GER-Bundesliga,145,1.61,0,0,0.0,0.0,0,0,3,1,0,0,0.0,0.0,0.0,90,40
Jonas Svensson,NOR,DF,32.0,Beşiktaş,TUR-Super Lig,344,3.82,0,0,0.0,0.0,0,3,8,10,1,0,0.0,0.0,0.0,90,100
Jonas Urbig,GER,GK,21.0,Bayern Munich,GER-Bundesliga,1111,12.34,0,0,0.0,0.0,0,0,0,0,0,0,32.0,6.0,15.0,90,100
Jonas Wind,DEN,FW,26.0,Wolfsburg,GER-Bundesliga,481,5.34,1,0,0.19,0.0,6,0,0,0,1,0,0.0,0.0,0.0,90,40
Jonathan Burkardt,GER,FW,25.0,Frankfurt,GER-Bundesliga,1336,14.84,13,1,0.88,0.07,21,5,4,1,1,0,0.0,0.0,0.0,90,75
Jonathan Clauss,FRA,"MF,DF",32.0,Nice,FRA-Ligue 1,2530,28.11,1,6,0.04,0.21,6,223,38,47,0,0,0.0,0.0,0.0,85,40
Jonathan David,CAN,FW,25.0,Juventus,ITA-Serie A,1781,19.79,6,4,0.3,0.2,16,8,10,6,0,0,0.0,0.0,0.0,90,85
Jonathan Fischer,DEN,GK,23.0,Metz,FRA-Ligue 1,2354,26.16,0,0,0.0,0.0,0,0,0,0,0,0,92.0,5.0,56.0,85,40
Jonathan Gradit,FRA,DF,32.0,Lens,FRA-Ligue 1,807,8.97,0,0,0.0,0.0,0,3,12,16,2,1,0.0,0.0,0.0,85,70
Jonathan Ikone,FRA,"MF,FW",27.0,Paris FC,FRA-Ligue 1,1100,12.22,3,1,0.25,0.08,6,7,15,5,2,0,0.0,0.0,0.0,85,40
Jonathan Rowe,ENG,"MF,FW",22.0,Bologna,ITA-Serie A,1667,18.52,3,2,0.16,0.11,17,57,14,10,2,0,0.0,0.0,0.0,90,40
Jonathan Tah,GER,DF,29.0,Bayern Munich,GER-Bundesliga,2018,22.42,2,1,0.09,0.04,5,1,18,25,7,0,0.0,0.0,0.0,90,100
Jones El-Abdellaoui,MAR,"MF,FW",19.0,Celta Vigo,ESP-La Liga,681,7.57,2,0,0.26,0.0,4,30,3,3,0,0,0.0,0.0,0.0,95,40
Jonny Castro,ESP,DF,31.0,Alavés,ESP-La Liga,2994,33.27,0,0,0.0,0.0,3,23,41,40,7,0,0.0,0.0,0.0,95,40
Jordan Henderson,ENG,MF,35.0,Brentford,ENG-Premier League,1919,21.32,1,3,0.05,0.14,1,48,14,16,6,0,0.0,0.0,0.0,100,40
Jordan Lefort,MTN,DF,31.0,Angers,FRA-Ligue 1,3060,34.0,0,2,0.0,0.06,2,23,33,47,2,0,0.0,0.0,0.0,85,40
Jordan Pickford,ENG,GK,31.0,Everton,ENG-Premier League,3420,38.0,0,0,0.0,0.0,0,0,1,0,4,0,99.0,11.0,50.0,100,40
Jordan Teze,NED,"MF,DF",25.0,Monaco,FRA-Ligue 1,2489,27.66,1,2,0.04,0.07,5,64,45,30,8,0,0.0,0.0,0.0,85,70
Jordan Torunarigha,GER,DF,27.0,Hamburger SV,GER-Bundesliga,1962,21.8,0,0,0.0,0.0,1,3,22,30,3,0,0.0,0.0,0.0,90,40
Jordan Zemura,ZIM,"MF,DF",25.0,Udinese,ITA-Serie A,1127,12.52,0,1,0.0,0.08,1,35,17,6,3,0,0.0,0.0,0.0,90,40
Jordy Makengo,FRA,DF,23.0,Freiburg,GER-Bundesliga,1178,13.09,0,1,0.0,0.08,0,32,10,14,1,0,0.0,0.0,0.0,90,40
Jorge Cabello,ESP,DF,21.0,Levante,ESP-La Liga,362,4.02,0,0,0.0,0.0,0,0,3,0,1,0,0.0,0.0,0.0,95,40
Jorge Cestero,ESP,MF,19.0,Real Madrid,ESP-La Liga,13,0.14,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,95,100
Jorge Cuenca,ESP,DF,25.0,Fulham,ENG-Premier League,938,10.42,0,0,0.0,0.0,0,2,10,15,6,0,0.0,0.0,0.0,100,40
Jorge Herrando,ESP,DF,24.0,Osasuna,ESP-La Liga,1600,17.78,0,1,0.0,0.06,0,2,15,22,3,0,0.0,0.0,0.0,95,40
Jorge Montes,ESP,DF,21.0,Getafe,ESP-La Liga,27,0.3,0,0,0.0,0.0,0,2,2,0,0,0,0.0,0.0,0.0,95,40
Jorge de Frutos,ESP,"FW,MF",28.0,Rayo Vallecano,ESP-La Liga,2463,27.37,10,1,0.37,0.04,28,47,16,11,3,0,0.0,0.0,0.0,95,40
Joris Chotard,FRA,MF,23.0,Brest,FRA-Ligue 1,2773,30.81,2,1,0.06,0.03,8,51,34,48,2,0,0.0,0.0,0.0,85,40
Jorrel Hato,NED,DF,19.0,Chelsea,ENG-Premier League,1148,12.76,0,0,0.0,0.0,0,7,19,17,7,0,0.0,0.0,0.0,100,80
Josan,ESP,"MF,DF",35.0,Elche,ESP-La Liga,565,6.28,0,3,0.0,0.48,1,72,8,6,2,0,0.0,0.0,0.0,95,40
Joselu Pérez,ESP,DF,21.0,Getafe,ESP-La Liga,22,0.24,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,95,40
Josep Martinez,ESP,GK,27.0,Inter,ITA-Serie A,450,5.0,0,0,0.0,0.0,0,0,0,0,0,0,10.0,3.0,4.0,90,95
Joseph Aidoo,GHA,DF,29.0,Celta Vigo,ESP-La Liga,639,7.1,0,0,0.0,0.0,0,0,3,10,0,0,0.0,0.0,0.0,95,40
Joseph Liteta,ZAM,MF,19.0,Cagliari,ITA-Serie A,264,2.93,0,0,0.0,0.0,0,0,2,8,0,0,0.0,0.0,0.0,90,40
Joseph Nduquidi,FRA,MF,20.0,Metz,FRA-Ligue 1,7,0.08,0,0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,85,40
Joseph Nonge,BEL,"MF,FW",20.0,Kocaelispor,TUR-Super Lig,1195,13.28,0,0,0.0,0.0,1,14,14,17,3,0,0.0,0.0,0.0,90,40
Josh Cullen,IRL,MF,29.0,Burnley,ENG-Premier League,1514,16.82,2,2,0.12,0.12,6,12,19,24,2,0,0.0,0.0,0.0,100,40
Josh Dasilva,ENG,MF,26.0,Brentford,ENG-Premier League,3,0.03,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,100,40
Josh Doig,SCO,DF,23.0,Sassuolo,ITA-Serie A,1917,21.3,0,0,0.0,0.0,4,39,20,22,5,0,0.0,0.0,0.0,90,40
Josh Laurent,ENG,"DF,MF",30.0,Burnley,ENG-Premier League,1764,19.6,1,0,0.05,0.0,4,14,25,28,7,1,0.0,0.0,0.0,100,40
Josha Vagnoman,GER,"DF,MF",24.0,Stuttgart,GER-Bundesliga,1587,17.63,1,3,0.06,0.17,11,33,19,3,3,0,0.0,0.0,0.0,90,75
Joshua Acheampong,ENG,DF,19.0,Chelsea,ENG-Premier League,666,7.4,1,0,0.14,0.0,2,1,8,12,1,0,0.0,0.0,0.0,100,80
Joshua Brenet,CUW,"DF,MF",31.0,Kayserispor,TUR-Super Lig,798,8.87,0,2,0.0,0.23,0,16,1,10,1,0,0.0,0.0,0.0,90,40
Joshua Kimmich,GER,MF,30.0,Bayern Munich,GER-Bundesliga,2280,25.33,2,8,0.08,0.32,10,126,26,24,4,0,0.0,0.0,0.0,90,100
Joshua King,ENG,MF,18.0,Fulham,ENG-Premier League,1308,14.53,1,2,0.07,0.14,11,12,12,3,4,0,0.0,0.0,0.0,100,40
Joshua Zirkzee,NED,"FW,MF",24.0,Manchester Utd,ENG-Premier League,626,6.96,2,1,0.29,0.14,9,5,6,1,3,0,0.0,0.0,0.0,100,85
Josip Brekalo,CRO,"MF,FW",27.0,Oviedo,ESP-La Liga,486,5.4,0,0,0.0,0.0,3,26,7,2,1,0,0.0,0.0,0.0,95,40
Josip Juranović,CRO,MF,29.0,Union Berlin,GER-Bundesliga,330,3.67,1,1,0.27,0.27,1,40,4,0,1,0,0.0,0.0,0.0,90,40
Josip Stanišić,CRO,DF,25.0,Bayern Munich,GER-Bundesliga,1857,20.63,2,3,0.1,0.15,4,36,21,18,1,0,0.0,0.0,0.0,90,100
Josip Čalušić,CRO,DF,31.0,Konyaspor,TUR-Super Lig,298,3.31,0,0,0.0,0.0,0,0,2,5,1,0,0.0,0.0,0.0,90,40
Josué Casimir,HAI,"MF,FW",23.0,Auxerre,FRA-Ligue 1,1522,16.91,1,0,0.06,0.0,12,54,17,11,6,1,0.0,0.0,0.0,85,40
José Luis García Vayá,ESP,"MF,DF",26.0,Valencia,ESP-La Liga,2225,24.72,2,0,0.08,0.0,3,46,33,19,4,0,0.0,0.0,0.0,95,40
José Luis Gayà,ESP,DF,30.0,Valencia,ESP-La Liga,2448,27.2,1,2,0.04,0.07,3,88,44,23,6,1,0.0,0.0,0.0,95,40
José Luis Morales,ESP,MF,38.0,Levante,ESP-La Liga,363,4.03,1,1,0.25,0.25,4,11,5,3,1,0,0.0,0.0,0.0,95,40
José María Giménez,URU,DF,30.0,Atlético Madrid,ESP-La Liga,1178,13.09,0,1,0.0,0.08,3,0,12,15,3,0,0.0,0.0,0.0,95,92
José Salinas,ESP,DF,24.0,Espanyol,ESP-La Liga,257,2.86,0,0,0.0,0.0,0,7,2,3,2,0,0.0,0.0,0.0,95,40
José Sá,POR,GK,32.0,Wolves,ENG-Premier League,2070,23.0,0,0,0.0,0.0,0,0,0,0,2,0,65.0,4.0,37.0,100,40
Jota Silva,POR,FW,25.0,Beşiktaş,ENG-Premier League,594,6.6,4,0,0.61,0.0,12,10,3,8,1,0,0.0,0.0,0.0,100,100
Jovan Milošević,SRB,FW,20.0,Werder Bremen,GER-Bundesliga,488,5.42,3,1,0.55,0.18,4,3,2,0,2,0,0.0,0.0,0.0,90,40
Jozhua Vertrouwd,NED,DF,20.0,Rayo Vallecano,ESP-La Liga,446,4.96,0,0,0.0,0.0,0,0,3,4,0,0,0.0,0.0,0.0,95,40
João Camacho,POR,MF,31.0,Karagümrük,TUR-Super Lig,319,3.54,0,0,0.0,0.0,2,8,1,3,1,0,0.0,0.0,0.0,90,40
João Cancelo,POR,DF,31.0,Barcelona,ESP-La Liga,954,10.6,2,2,0.19,0.19,4,31,19,11,1,0,0.0,0.0,0.0,95,100
João Gomes,BRA,MF,24.0,Wolves,ENG-Premier League,2829,31.43,1,1,0.03,0.03,7,31,68,36,10,0,0.0,0.0,0.0,100,40
João Mendes,POR,MF,30.0,Kayserispor,TUR-Super Lig,1502,16.69,0,4,0.0,0.24,3,58,8,7,4,1,0.0,0.0,0.0,90,40
João Mário,POR,MF,32.0,Beşiktaş,TUR-Super Lig,106,1.18,0,0,0.0,0.0,1,3,2,0,0,0,0.0,0.0,0.0,90,100
João Mário Lopes,POR,"DF,MF",25.0,Bologna,ITA-Serie A,993,11.03,1,0,0.09,0.0,2,20,7,13,2,0,0.0,0.0,0.0,90,40
João Neves,POR,MF,20.0,PSG,FRA-Ligue 1,1287,14.3,5,1,0.35,0.07,6,4,14,6,0,0,0.0,0.0,0.0,85,100
João Palhinha,POR,MF,30.0,Tottenham,ENG-Premier League,2198,24.42,5,2,0.2,0.08,9,4,61,28,8,0,0.0,0.0,0.0,100,80
João Pedro,BRA,"FW,MF",23.0,Chelsea,ENG-Premier League,2661,29.57,15,5,0.51,0.17,28,18,17,6,5,0,0.0,0.0,0.0,100,80
Joél Drakes-Thomas,ENG,MF,16.0,Crystal Palace,ENG-Premier League,9,0.1,0,0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,100,70
Joël Piroe,SUR,FW,25.0,Leeds United,ENG-Premier League,258,2.87,0,0,0.0,0.0,3,4,1,1,0,0,0.0,0.0,0.0,100,40
Joël Schmied,SUI,DF,26.0,Köln,GER-Bundesliga,1078,11.98,0,0,0.0,0.0,0,5,9,11,5,0,0.0,0.0,0.0,90,40
Joël Veltman,NED,DF,33.0,Brighton,ENG-Premier League,1058,11.76,1,0,0.09,0.0,1,18,17,19,5,0,0.0,0.0,0.0,100,75
Joško Gvardiol,CRO,DF,23.0,Manchester City,ENG-Premier League,1372,15.24,2,2,0.13,0.13,6,2,13,16,2,0,0.0,0.0,0.0,100,100
Juan Arango,VEN,MF,19.0,Girona,ESP-La Liga,18,0.2,0,0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,95,75
Juan Arizala,COL,MF,19.0,Udinese,ITA-Serie A,191,2.12,0,0,0.0,0.0,1,6,3,1,0,0,0.0,0.0,0.0,90,40
Juan Cruz Armada,ESP,DF,33.0,Osasuna,ESP-La Liga,649,7.21,0,0,0.0,0.0,0,5,3,4,2,0,0.0,0.0,0.0,95,40
Juan Cuadrado,COL,MF,37.0,Pisa,ITA-Serie A,506,5.62,1,0,0.18,0.0,2,45,10,5,3,0,0.0,0.0,0.0,90,40
Juan David Cabal,COL,MF,24.0,Juventus,ITA-Serie A,296,3.29,2,0,0.61,0.0,2,4,5,4,1,0,0.0,0.0,0.0,90,85
Juan Foyth,ARG,DF,27.0,Villarreal,ESP-La Liga,934,10.38,0,0,0.0,0.0,0,0,13,15,2,0,0.0,0.0,0.0,95,75
Juan Jesus,BRA,DF,34.0,Napoli,ITA-Serie A,1675,18.61,0,0,0.0,0.0,0,1,22,26,10,1,0.0,0.0,0.0,90,90
Juan Miranda,ESP,DF,25.0,Bologna,ITA-Serie A,2573,28.59,1,3,0.03,0.1,5,171,31,33,6,0,0.0,0.0,0.0,90,40
Juan Musso,ARG,GK,31.0,Atlético Madrid,ESP-La Liga,720,8.0,0,0,0.0,0.0,0,0,0,0,2,0,22.0,3.0,13.0,95,92
Juan Rodríguez,URU,DF,20.0,Cagliari,ITA-Serie A,1310,14.56,1,0,0.07,0.0,2,5,27,17,3,0,0.0,0.0,0.0,90,40
Juan Santos,BRA,FW,23.0,Göztepe,TUR-Super Lig,2571,28.57,11,4,0.39,0.14,30,27,17,8,6,1,0.0,0.0,0.0,90,40
Juanlu Sánchez,ESP,"MF,DF",21.0,Sevilla,ESP-La Liga,1990,22.11,0,3,0.0,0.14,1,59,42,11,6,1,0.0,0.0,0.0,95,40
Juanmi,ESP,"FW,MF",32.0,Getafe,ESP-La Liga,179,1.99,1,0,0.5,0.0,1,0,0,0,0,0,0.0,0.0,0.0,95,40
Jude Bellingham,ENG,MF,22.0,Real Madrid,ESP-La Liga,1916,21.29,6,4,0.28,0.19,26,16,37,14,3,0,0.0,0.0,0.0,95,100
Julen Agirrezabala,ESP,GK,24.0,Valencia,ESP-La Liga,1620,18.0,0,0,0.0,0.0,0,0,1,0,1,0,52.0,4.0,30.0,95,40
Jules Koundé,FRA,DF,26.0,Barcelona,ESP-La Liga,2261,25.12,1,3,0.04,0.12,4,40,24,31,6,0,0.0,0.0,0.0,95,100
Julian Brandt,GER,"MF,FW",29.0,Dortmund,GER-Bundesliga,1606,17.84,7,4,0.39,0.22,18,25,8,5,0,0,0.0,0.0,0.0,90,95
Julian Chabot,GER,DF,27.0,Stuttgart,GER-Bundesliga,2294,25.49,0,0,0.0,0.0,7,1,20,40,3,0,0.0,0.0,0.0,90,75
Julian Niehues,GER,MF,24.0,Heidenheim,GER-Bundesliga,1383,15.37,3,0,0.2,0.0,5,3,10,23,1,0,0.0,0.0,0.0,90,40
Julian Ryerson,NOR,MF,27.0,Dortmund,GER-Bundesliga,2266,25.18,0,15,0.0,0.6,1,250,21,12,8,0,0.0,0.0,0.0,90,95
Julien Le Cardinal,FRA,DF,27.0,Brest,FRA-Ligue 1,328,3.64,1,0,0.27,0.0,2,0,5,3,1,0,0.0,0.0,0.0,85,40
Julien López,ALG,"FW,MF",33.0,Paris FC,FRA-Ligue 1,45,0.5,0,0,0.0,0.0,0,1,0,1,0,0,0.0,0.0,0.0,85,40
Julio Diaz,ESP,DF,20.0,Atlético Madrid,ESP-La Liga,310,3.44,0,1,0.0,0.29,0,6,3,4,2,0,0.0,0.0,0.0,95,92
Julio Enciso,PAR,"MF,FW",21.0,Strasbourg,FRA-Ligue 1,1883,20.92,3,6,0.14,0.29,22,61,10,7,2,0,0.0,0.0,0.0,85,40
Julio Soler,ARG,DF,20.0,Bournemouth,ENG-Premier League,35,0.39,0,0,0.0,0.0,0,2,0,0,0,0,0.0,0.0,0.0,100,70
Julián Cuesta,ESP,GK,34.0,Antalyaspor,TUR-Super Lig,1800,20.0,0,0,0.0,0.0,0,0,1,0,4,0,79.0,3.0,34.0,90,40
Julián Malatini,ARG,DF,24.0,Werder Bremen,GER-Bundesliga,516,5.73,0,0,0.0,0.0,0,5,6,6,3,0,0.0,0.0,0.0,90,40
Julián Vignolo,ARG,MF,18.0,Toulouse,FRA-Ligue 1,195,2.17,2,0,0.92,0.0,7,10,3,0,0,0,0.0,0.0,0.0,85,40
Julián Álvarez,ARG,FW,25.0,Atlético Madrid,ESP-La Liga,1895,21.06,8,4,0.38,0.19,26,86,13,3,2,0,0.0,0.0,0.0,95,92
Jun'ai Byfield,ENG,DF,16.0,Tottenham,ENG-Premier League,1,0.01,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,100,80
Juninho Bacuna,CUW,MF,27.0,Gaziantep,TUR-Super Lig,219,2.43,0,0,0.0,0.0,2,9,5,4,1,0,0.0,0.0,0.0,90,40
Junior Adamu,AUT,FW,24.0,Freiburg,GER-Bundesliga,446,4.96,1,1,0.2,0.2,3,2,6,5,1,0,0.0,0.0,0.0,90,40
Junior Ajayi,CIV,FW,20.0,Hellas Verona,ITA-Serie A,1,0.01,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,90,40
Junior Diaz,CIV,DF,22.0,Brest,FRA-Ligue 1,1562,17.36,0,0,0.0,0.0,1,1,18,25,4,0,0.0,0.0,0.0,85,40
Junior Dina Ebimbe,CMR,MF,24.0,Brest,FRA-Ligue 1,1165,12.94,5,0,0.39,0.0,9,4,16,6,3,0,0.0,0.0,0.0,85,40
Junior Firpo,DOM,DF,28.0,Real Betis,ESP-La Liga,827,9.19,0,1,0.0,0.11,0,19,14,10,2,0,0.0,0.0,0.0,95,40
Junior Messias,BRA,MF,34.0,Genoa,ITA-Serie A,685,7.61,3,1,0.39,0.13,7,16,10,5,1,0,0.0,0.0,0.0,90,40
Junior Mwanga,FRA,"DF,MF",22.0,Nantes,FRA-Ligue 1,1637,18.19,1,1,0.05,0.05,3,9,22,9,2,1,0.0,0.0,0.0,85,40
Junior Olaitan,BEN,MF,23.0,Beşiktaş,TUR-Super Lig,2096,23.29,4,2,0.17,0.09,21,56,15,16,2,0,0.0,0.0,0.0,90,100
Jure Balkovec,SVN,DF,30.0,Karagümrük,TUR-Super Lig,1511,16.79,0,0,0.0,0.0,3,30,12,14,7,1,0.0,0.0,0.0,90,40
Jurgen Ekkelenkamp,NED,MF,25.0,Udinese,ITA-Serie A,2186,24.29,5,3,0.21,0.12,15,32,27,18,1,0,0.0,0.0,0.0,90,40
Jurriën Timber,NED,DF,24.0,Arsenal,ENG-Premier League,2454,27.27,3,5,0.11,0.18,7,46,35,24,5,0,0.0,0.0,0.0,100,95
Justin Bijlow,NED,GK,27.0,Genoa,ITA-Serie A,1395,15.5,0,0,0.0,0.0,0,0,0,0,1,0,45.0,5.0,20.0,90,40
Justin Bourgault,FRA,FW,19.0,Brest,FRA-Ligue 1,16,0.18,0,0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,85,40
Justin Devenny,NIR,"MF,FW",21.0,Crystal Palace,ENG-Premier League,796,8.84,1,0,0.11,0.0,4,17,11,1,0,0,0.0,0.0,0.0,100,70
Justin Kluivert,NED,MF,26.0,Bournemouth,ENG-Premier League,952,10.58,2,0,0.19,0.0,4,40,7,4,5,0,0.0,0.0,0.0,100,70
Justin Njinmah,GER,"FW,MF",24.0,Werder Bremen,GER-Bundesliga,1947,21.63,5,0,0.23,0.0,23,34,14,6,2,0,0.0,0.0,0.0,90,40
Justin-Noël Kalumba,FRA,FW,20.0,Angers,ESP-La Liga,305,3.39,0,0,0.0,0.0,0,17,4,1,0,0,0.0,0.0,0.0,95,40
Jusuf Gazibegović,BIH,DF,25.0,Köln,GER-Bundesliga,23,0.26,0,0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,90,40
Jáder Durán,COL,FW,21.0,Fenerbahçe,TUR-Super Lig,542,6.02,3,2,0.5,0.33,6,3,3,0,2,0,0.0,0.0,0.0,90,100
Jérémy Jacquet,FRA,DF,20.0,Rennes,FRA-Ligue 1,1671,18.57,0,0,0.0,0.0,3,0,17,22,6,1,0.0,0.0,0.0,85,40
Jérôme Onguéné,CMR,DF,27.0,Eyüpspor,TUR-Super Lig,784,8.71,0,2,0.0,0.23,1,0,6,8,3,0,0.0,0.0,0.0,90,40
Jørgen Strand Larsen,NOR,FW,25.0,Wolves,ENG-Premier League,2307,25.63,4,1,0.16,0.04,14,3,2,4,4,0,0.0,0.0,0.0,100,40
Kaan Akyazi,TUR,FW,19.0,Konyaspor,TUR-Super Lig,25,0.28,0,0,0.0,0.0,0,1,2,0,0,0,0.0,0.0,0.0,90,40
Kaan Ayhan,TUR,"MF,DF",30.0,Galatasaray,TUR-Super Lig,394,4.38,1,0,0.23,0.0,1,5,9,4,1,0,0.0,0.0,0.0,90,100
Kacper Kozłowski,POL,"MF,FW",21.0,Gaziantep,TUR-Super Lig,2645,29.39,6,2,0.2,0.07,17,35,26,4,6,0,0.0,0.0,0.0,90,40
Kacper Potulski,POL,DF,17.0,Mainz 05,GER-Bundesliga,1065,11.83,1,0,0.08,0.0,5,2,15,19,3,0,0.0,0.0,0.0,90,40
Kaden Rodney,ENG,"DF,MF",20.0,Crystal Palace,ENG-Premier League,4,0.04,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,100,70
Kader Meïté,FRA,FW,17.0,Rennes,FRA-Ligue 1,535,5.94,3,2,0.51,0.34,7,3,2,1,0,0,0.0,0.0,0.0,85,40
Kai Havertz,GER,"FW,MF",26.0,Arsenal,ENG-Premier League,581,6.46,2,3,0.31,0.46,4,6,5,1,1,0,0.0,0.0,0.0,100,95
Kaishū Sano,JPN,MF,24.0,Mainz 05,GER-Bundesliga,3059,33.99,1,2,0.03,0.06,6,18,31,67,1,0,0.0,0.0,0.0,90,40
Kamaldeen Sulemana,GHA,MF,23.0,Atalanta,ITA-Serie A,1011,11.23,2,1,0.18,0.09,10,22,5,2,4,0,0.0,0.0,0.0,90,75
Kamil Grabara,POL,GK,26.0,Wolfsburg,GER-Bundesliga,3060,34.0,0,0,0.0,0.0,0,0,1,1,1,0,120.0,2.0,69.0,90,40
Kamil Uregen,TUR,DF,17.0,Fenerbahçe,TUR-Super Lig,45,0.5,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,90,100
Kamil Çörekçi,TUR,DF,33.0,Kasımpaşa,TUR-Super Lig,763,8.48,0,0,0.0,0.0,0,7,16,8,4,0,0.0,0.0,0.0,90,40
Kamory Doumbia,MLI,MF,22.0,Brest,FRA-Ligue 1,1750,19.44,5,4,0.26,0.21,14,20,30,20,6,0,0.0,0.0,0.0,85,40
Kaoru Mitoma,JPN,"MF,FW",28.0,Brighton,ENG-Premier League,1721,19.12,3,1,0.16,0.05,13,46,12,8,5,0,0.0,0.0,0.0,100,75
Karahan Yasir Subaşı,TUR,"DF,MF",29.0,Konyaspor,TUR-Super Lig,509,5.66,0,0,0.0,0.0,0,3,7,11,0,0,0.0,0.0,0.0,90,40
Karamba Gassama,GAM,"MF,FW",20.0,Gaziantep,TUR-Super Lig,560,6.22,0,1,0.0,0.16,4,8,6,6,0,0,0.0,0.0,0.0,90,40
Kareem Tunde,ESP,MF,19.0,Levante,ESP-La Liga,1133,12.59,0,1,0.0,0.08,3,11,11,14,3,0,0.0,0.0,0.0,95,40
Karim Adeyemi,GER,"MF,FW",23.0,Dortmund,GER-Bundesliga,1195,13.28,7,4,0.53,0.3,14,11,4,8,5,0,0.0,0.0,0.0,90,95
Karl Darlow,WAL,GK,34.0,Leeds United,ENG-Premier League,1980,22.0,0,0,0.0,0.0,0,0,0,0,1,0,63.0,5.0,27.0,100,40
Karl Etta Eyong,CMR,FW,21.0,Levante,ESP-La Liga,1672,18.58,7,4,0.38,0.22,24,13,13,6,3,0,0.0,0.0,0.0,95,40
Karl Jakob Hein,EST,GK,23.0,Werder Bremen,GER-Bundesliga,180,2.0,0,0,0.0,0.0,0,0,0,0,0,0,11.0,1.0,4.0,90,40
Karl-Johan Johnsson,SWE,GK,35.0,Strasbourg,FRA-Ligue 1,90,1.0,0,0,0.0,0.0,0,0,0,0,0,0,2.0,1.0,0.0,85,40
Karol Linetty,POL,MF,30.0,Kocaelispor,TUR-Super Lig,1521,16.9,0,2,0.0,0.12,10,51,15,18,7,0,0.0,0.0,0.0,90,40
Karol Mets,EST,DF,32.0,St Pauli,GER-Bundesliga,1932,21.47,1,0,0.05,0.0,1,6,22,22,3,0,0.0,0.0,0.0,90,40
Kartal Yılmaz,TUR,MF,24.0,Beşiktaş,TUR-Super Lig,518,5.76,0,1,0.0,0.17,1,18,8,7,2,0,0.0,0.0,0.0,90,100
Kassoum Ouattara,FRA,"MF,DF",20.0,Monaco,FRA-Ligue 1,967,10.74,0,3,0.0,0.28,0,50,19,19,3,0,0.0,0.0,0.0,85,70
Kauã Santos,BRA,GK,22.0,Frankfurt,GER-Bundesliga,1084,12.04,0,0,0.0,0.0,0,0,1,0,0,0,37.0,2.0,32.0,90,75
Kaye Furo,BEL,FW,18.0,Brentford,ENG-Premier League,1,0.01,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,100,40
Kayra Cihan,TUR,DF,17.0,Kayserispor,TUR-Super Lig,96,1.07,0,0,0.0,0.0,0,0,4,5,0,0,0.0,0.0,0.0,90,40
Kazeem Olaigbe,BEL,MF,22.0,Trabzonspor,TUR-Super Lig,2030,22.56,0,1,0.0,0.04,14,53,12,7,1,0,0.0,0.0,0.0,90,90
Kazımcan Karataş,TUR,DF,22.0,Başakşehir,TUR-Super Lig,1145,12.72,0,3,0.0,0.24,4,29,22,11,5,0,0.0,0.0,0.0,90,75
Kaïl Boudache,FRA,"MF,FW",19.0,Nice,FRA-Ligue 1,531,5.9,1,0,0.17,0.0,2,8,9,6,1,0,0.0,0.0,0.0,85,40
Keane Lewis-Potter,ENG,"DF,MF",24.0,Brentford,ENG-Premier League,1972,21.91,3,3,0.14,0.14,9,69,14,10,1,0,0.0,0.0,0.0,100,40
Keinan Davis,ENG,FW,27.0,Udinese,ITA-Serie A,2065,22.94,10,4,0.44,0.17,25,5,5,1,5,0,0.0,0.0,0.0,90,40
Keke Topp,GER,FW,21.0,Werder Bremen,GER-Bundesliga,638,7.09,1,1,0.14,0.14,3,5,5,1,4,0,0.0,0.0,0.0,90,40
Kelvin Amian,FRA,DF,27.0,Nantes,FRA-Ligue 1,1961,21.79,0,1,0.0,0.05,2,29,18,8,3,0,0.0,0.0,0.0,85,40
Kenan Yıldız,TUR,"MF,FW",20.0,Juventus,ITA-Serie A,2825,31.39,10,6,0.32,0.19,40,122,14,7,2,0,0.0,0.0,0.0,90,85
