Player,Nation,Pos,Age,Team,League,Min,90s,Gls,Ast,per_90_Gls,per_90_Ast,SoT,Crs,TklW,Int,CrdY,CrdR,Saves,CS,GA,Lig_Puani,Takim_Puani,Lig_Max_90s,oynanabilirlik_skoru,Zorluk_Seviyesi
Christopher Trimmel,AUT,"MF,DF",38.0,Union Berlin,GER-Bundesliga,1861,20.68,0,3,0.0,0.15,1,177,24,10,8,0,0.0,0.0,0.0,90,40,34.0,35.3,Zor
Ché Adams,SCO,FW,29.0,Torino,ITA-Serie A,1893,21.03,6,2,0.29,0.1,18,14,9,1,0,0,0.0,0.0,0.0,90,40,48.28,33.23,Zor
Clemens Riedel,GER,DF,22.0,Espanyol,ESP-La Liga,1396,15.51,0,1,0.0,0.06,1,3,14,11,5,0,0.0,0.0,0.0,95,40,38.0,32.9,Zor
Clinton Mata,ANG,DF,32.0,Lyon,FRA-Ligue 1,2833,31.48,0,0,0.0,0.0,0,20,21,26,5,0,0.0,0.0,0.0,85,70,34.0,68.44,Zor
Cláudio Winck,BRA,DF,31.0,Kasımpaşa,TUR-Super Lig,2300,25.56,3,1,0.12,0.04,8,66,37,22,6,0,0.0,0.0,0.0,90,40,34.0,37.02,Zor
Clément Akpa,CIV,DF,23.0,Auxerre,FRA-Ligue 1,1944,21.6,0,0,0.0,0.0,0,30,19,23,4,1,0.0,0.0,0.0,85,40,34.0,35.62,Zor
Clément Lenglet,FRA,DF,30.0,Atlético Madrid,ESP-La Liga,1391,15.46,0,1,0.0,0.06,0,2,10,20,6,1,0.0,0.0,0.0,95,92,38.0,75.63,Orta
Cody Gakpo,NED,"MF,FW",26.0,Liverpool,ENG-Premier League,2737,30.41,7,5,0.23,0.16,21,86,15,12,3,0,0.0,0.0,0.0,100,95,38.0,89.31,Kolay
Cole Palmer,ENG,MF,23.0,Chelsea,ENG-Premier League,1955,21.72,10,1,0.46,0.05,25,35,12,13,5,0,0.0,0.0,0.0,100,80,38.0,69.72,Zor
Conor Bradley,NIR,DF,22.0,Liverpool,ENG-Premier League,929,10.32,0,1,0.0,0.1,0,23,15,12,5,0,0.0,0.0,0.0,100,95,38.0,74.24,Zor
Conor Gallagher,ENG,MF,25.0,Tottenham,ENG-Premier League,1863,20.7,3,1,0.14,0.05,9,34,26,29,4,0,0.0,0.0,0.0,100,80,38.0,69.07,Zor
Conrad Harder,DEN,FW,20.0,RB Leipzig,GER-Bundesliga,932,10.36,3,3,0.29,0.29,13,13,6,7,3,0,0.0,0.0,0.0,90,90,34.0,71.23,Zor
Copete,ESP,DF,25.0,Valencia,ESP-La Liga,1759,19.54,0,0,0.0,0.0,0,4,15,25,5,0,0.0,0.0,0.0,95,40,38.0,34.17,Zor
Corentin Tolisso,FRA,MF,30.0,Lyon,FRA-Ligue 1,2302,25.58,11,4,0.43,0.16,27,49,18,17,4,0,0.0,0.0,0.0,85,70,34.0,64.8,Zor
Crespo,POR,MF,28.0,Başakşehir,TUR-Super Lig,1100,12.22,0,5,0.0,0.41,3,14,11,9,3,0,0.0,0.0,0.0,90,75,34.0,60.59,Zor
Cristhian Mosquera,ESP,DF,21.0,Arsenal,ENG-Premier League,994,11.04,0,0,0.0,0.0,0,3,21,8,4,0,0.0,0.0,0.0,100,95,38.0,74.78,Zor
Cristian Cásseres Jr.,VEN,MF,25.0,Toulouse,FRA-Ligue 1,2495,27.72,2,3,0.07,0.11,6,98,42,37,6,0,0.0,0.0,0.0,85,40,34.0,37.78,Zor
Cristian Romero,ARG,DF,27.0,Tottenham,ENG-Premier League,1868,20.76,4,1,0.19,0.05,6,1,30,31,11,2,0.0,0.0,0.0,100,80,38.0,69.11,Zor
Crysencio Summerville,NED,"MF,FW",23.0,West Ham,ENG-Premier League,2470,27.44,5,2,0.18,0.07,15,59,26,15,6,0,0.0,0.0,0.0,100,40,38.0,36.67,Zor
